Tiempo inicial 2016-12-04T21:55:28.516 
L=50 - Mc=30000
22.3426
22.5464
23.0383
21.9526
22.1099
22.3118
21.3044
22.0586
21.7468
21.2678
21.0488
21.6662
21.3108
21.0643
21.4900
21.4026
21.2156
21.7723
22.6420
22.8153
22.2215
21.6775
21.3520
21.5877
21.2066
20.8782
21.2226
21.2145
20.9093
21.3359
21.0869
20.8320
21.2074
21.0235
20.8841
21.4809
21.2137
20.9014
21.2387
21.1346
21.3060
21.1644
20.8196
21.7082
20.9178
21.0336
21.1415
21.1456
20.9026
21.0692
20.4480
Tiempo final 2016-12-04T22:01:35.42 
