T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1.00000,1.00000,0.98170,0.96558,0.95004,0.93489,0.92001,0.90534,0.89084,0.87646,0.86218,0.84798,0.83385,0.81978,0.80577,0.79179,0.77785,0.76395,0.75009,0.73626,0.72245,0.70868,0.69493,0.68121,0.66751,0.65385,0.64021,0.62660,0.61302,0.59945,0.58590,0.57237,0.55886,0.54535,0.53185,0.51837,0.50489,0.49143,0.47798,0.46455,0.45113,0.43774,0.42436,0.41099,0.39763,0.38428,0.37093,0.35758,0.34425,0.33091,0.31757,0.30424,0.29090,0.27756,0.26423,0.25091,0.23759,0.22428,0.21098,0.19768,0.18438,0.17109,0.15779,0.14449,0.13120,0.11792,0.10467,0.09149,0.07848,0.06573,0.05337,0.04157,0.03063,0.02106,0.01349,0.00857,0.00687
2.92000,1.00000,0.42564,0.21129,0.11493,0.06596,0.03905,0.02350,0.01419,0.00881,0.00555,0.00351,0.00210,0.00108,0.00037,0.00001,0.00002,0.00006,0.00001,0.00009,0.00009,0.00018,0.00003,-0.00001,-0.00006,-0.00006,-0.00022,-0.00034,-0.00038,-0.00057,-0.00092,-0.00120,-0.00109,-0.00093,-0.00072,-0.00048,-0.00041,-0.00013,0.00029,0.00057,0.00060,0.00021,0.00001,-0.00011,-0.00016,-0.00009,-0.00005,-0.00013,-0.00038,-0.00057,-0.00065,-0.00048,-0.00046,-0.00040,-0.00011,0.00020,0.00034,0.00040,0.00026,0.00010,0.00023,0.00036,0.00049,0.00053,0.00062,0.00041,0.00027,0.00016,0.00021,0.00025,0.00013,-0.00015,-0.00058,-0.00069,-0.00064,-0.00064,-0.00077
2.28000,1.00000,0.69284,0.57107,0.50495,0.46131,0.42916,0.40392,0.38330,0.36588,0.35113,0.33832,0.32708,0.31696,0.30803,0.30004,0.29294,0.28634,0.28036,0.27490,0.26987,0.26540,0.26144,0.25791,0.25471,0.25190,0.24943,0.24740,0.24564,0.24404,0.24263,0.24132,0.24018,0.23914,0.23818,0.23734,0.23665,0.23599,0.23525,0.23462,0.23405,0.23356,0.23304,0.23267,0.23223,0.23182,0.23142,0.23124,0.23106,0.23085,0.23070,0.23052,0.23039,0.23044,0.23061,0.23088,0.23129,0.23184,0.23243,0.23294,0.23347,0.23406,0.23462,0.23530,0.23607,0.23678,0.23747,0.23803,0.23868,0.23922,0.23969,0.24006,0.24046,0.24069,0.24091,0.24105,0.24115
1.64000,1.00000,0.93675,0.91329,0.89564,0.87935,0.86362,0.84825,0.83314,0.81822,0.80346,0.78880,0.77425,0.75979,0.74541,0.73110,0.71684,0.70264,0.68851,0.67441,0.66039,0.64641,0.63246,0.61855,0.60469,0.59087,0.57708,0.56331,0.54957,0.53586,0.52218,0.50853,0.49492,0.48133,0.46782,0.45432,0.44085,0.42742,0.41400,0.40058,0.38717,0.37374,0.36034,0.34695,0.33357,0.32021,0.30685,0.29351,0.28019,0.26690,0.25368,0.24055,0.22758,0.21481,0.20231,0.19016,0.17841,0.16715,0.15644,0.14635,0.13696,0.12837,0.12062,0.11374,0.10770,0.10245,0.09797,0.09416,0.09096,0.08835,0.08626,0.08464,0.08340,0.08252,0.08195,0.08161,0.08150
2.93000,1.00000,0.42309,0.20831,0.11221,0.06361,0.03733,0.02234,0.01361,0.00828,0.00504,0.00309,0.00188,0.00118,0.00062,0.00033,0.00002,0.00000,0.00005,0.00004,-0.00002,0.00008,0.00013,-0.00004,-0.00021,-0.00008,0.00003,-0.00009,-0.00011,-0.00018,-0.00023,-0.00014,-0.00008,-0.00012,-0.00016,-0.00012,-0.00006,-0.00008,-0.00014,0.00001,0.00028,0.00050,0.00077,0.00081,0.00055,0.00019,-0.00023,-0.00070,-0.00090,-0.00099,-0.00107,-0.00098,-0.00083,-0.00064,-0.00021,0.00003,0.00015,0.00011,0.00023,0.00015,0.00017,0.00018,0.00020,0.00019,0.00024,0.00018,0.00007,0.00010,0.00030,0.00032,0.00027,0.00016,0.00013,0.00003,-0.00016,-0.00021,-0.00029
1.01000,1.00000,0.99844,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841,0.99841
2.29000,1.00000,0.67473,0.54050,0.46474,0.41313,0.37407,0.34242,0.31579,0.29298,0.27317,0.25574,0.24019,0.22620,0.21363,0.20207,0.19143,0.18166,0.17267,0.16446,0.15679,0.14958,0.14274,0.13615,0.13005,0.12425,0.11882,0.11369,0.10884,0.10431,0.10007,0.09616,0.09248,0.08895,0.08558,0.08237,0.07922,0.07620,0.07328,0.07061,0.06819,0.06595,0.06388,0.06193,0.06029,0.05863,0.05708,0.05562,0.05426,0.05303,0.05188,0.05092,0.05016,0.04949,0.04894,0.04860,0.04851,0.04852,0.04866,0.04864,0.04869,0.04883,0.04897,0.04915,0.04912,0.04898,0.04881,0.04855,0.04827,0.04797,0.04769,0.04756,0.04749,0.04739,0.04739,0.04742,0.04747
1.65000,1.00000,0.95708,0.95196,0.95122,0.95109,0.95106,0.95106,0.95105,0.95106,0.95105,0.95107,0.95106,0.95106,0.95106,0.95106,0.95107,0.95107,0.95107,0.95106,0.95105,0.95106,0.95107,0.95106,0.95106,0.95106,0.95106,0.95106,0.95107,0.95107,0.95107,0.95106,0.95106,0.95106,0.95106,0.95105,0.95105,0.95106,0.95107,0.95107,0.95107,0.95106,0.95107,0.95106,0.95107,0.95107,0.95106,0.95106,0.95106,0.95107,0.95106,0.95107,0.95106,0.95107,0.95107,0.95106,0.95108,0.95107,0.95106,0.95106,0.95105,0.95106,0.95106,0.95105,0.95106,0.95105,0.95106,0.95106,0.95106,0.95106,0.95106,0.95105,0.95107,0.95106,0.95106,0.95107,0.95106
2.94000,1.00000,0.42142,0.20691,0.11134,0.06317,0.03693,0.02179,0.01288,0.00769,0.00454,0.00257,0.00136,0.00074,0.00035,0.00005,-0.00010,-0.00036,-0.00040,-0.00042,-0.00031,-0.00027,0.00001,0.00010,-0.00004,-0.00006,-0.00012,-0.00008,-0.00015,-0.00005,0.00002,0.00014,0.00009,0.00004,0.00019,0.00019,0.00009,0.00004,-0.00018,-0.00044,-0.00079,-0.00096,-0.00096,-0.00110,-0.00113,-0.00106,-0.00107,-0.00094,-0.00083,-0.00067,-0.00046,-0.00038,-0.00038,-0.00010,0.00004,-0.00018,-0.00025,-0.00028,-0.00044,-0.00046,-0.00032,-0.00010,-0.00001,-0.00001,0.00006,0.00021,0.00048,0.00059,0.00062,0.00051,0.00045,0.00032,0.00008,-0.00022,-0.00041,-0.00050,-0.00048
1.02000,1.00000,0.99834,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830
