T,E,M,M_abs,Cv,Chim,Chim_abs
1.00000,-44464.1926885554,0.0109174666,0.0243998833,939.3675208092,401858.9607783967,160801.3266508210
2.92000,-19443.1138133684,0.0027947383,0.0191288341,8809.3826318043,96826.6921832918,34741.4177129387
2.28000,-31465.2943871671,0.4801884616,0.4801884616,55547.8069338020,2239576.7672933768,2239576.7672933768
1.64000,-42442.4778563089,0.1703407653,0.1703407653,7069.8145433489,181192.9110634254,181192.9110634254
2.93000,-19327.0532660371,0.0044388769,0.0191893029,10154.9830261494,97244.0720481598,37025.2512613721
1.01000,-45217.7428722336,0.9992037790,0.9992037790,564.8087980747,38.3381018544,38.3381018544
2.29000,-30650.8020151318,0.2747947903,0.2747947903,40990.9633750335,490433.1285742791,490433.1285742791
1.65000,-43356.4372603286,0.9752212600,0.9752212600,6563.7381962618,1214.5320205255,1214.5320205255
2.94000,-19250.6965383087,0.0034020234,0.0185884675,9451.0544962163,91807.0366428336,34301.6241068718
1.02000,-45213.1865492251,0.9991513772,0.9991513772,626.3433938208,43.2524217694,43.2524217694
2.30000,-30381.8213550668,0.0510846179,0.0635584871,34876.5162118216,1024822.9619853948,710058.0404748962
1.66000,-43288.2235114045,0.9742199501,0.9742199501,7647.3996702932,1455.3929595703,1455.3929595703
2.95000,-19143.3650453701,0.0063329054,0.0213342207,9461.8475846126,118738.2376523601,47512.5894467366
1.03000,-45205.3270191338,0.9990586167,0.9990586167,668.4372856341,47.2933812628,47.2933812628
2.31000,-30213.6591754677,0.1756348411,0.1771511022,37926.1264028324,2174356.1828396288,2057126.3087034095
1.67000,-43222.8828898916,0.9733249743,0.9733249743,6790.2451566183,1285.3585248936,1285.3585248936
2.96000,-19054.1569457545,0.0020823823,0.0194220260,9322.9156354248,100051.3870284790,36277.7782616273
1.04000,-45199.1833086899,0.9989879431,0.9989879431,682.6993106649,48.9430442452,48.9430442452
2.32000,-29672.6450994339,0.0998738604,0.1002839092,36604.8159059381,336848.4063026335,318938.8400999657
1.68000,-43140.5023479517,0.9721360727,0.9721360727,6650.6730613052,1284.1090458490,1284.1090458490
2.97000,-18961.1440620093,0.0006622535,0.0195927535,9270.8371679873,99597.3761671999,34238.7264322763
1.05000,-45192.8106808438,0.9989156500,0.9989156500,698.6213815996,50.5731361821,50.5731361821
2.33000,-29501.2377335131,0.1821085737,0.2007434730,34233.4004910600,3594255.1137657813,2044128.6210973007
1.69000,-43066.3803918249,0.9711259711,0.9711259711,7424.4507650239,1444.2803422375,1444.2803422375
2.98000,-18872.1569452045,0.0002859285,0.0198996752,8984.1904644923,102872.9192129277,35613.8151740886
1.06000,-45186.8877268424,0.9988475538,0.9988475538,751.3527292592,54.9021366070,54.9021366070
2.34000,-29115.5595146689,0.0779612692,0.0891185581,36710.5218350770,1347014.3381036059,943710.9454480172
1.70000,-41990.5450348509,0.0532308265,0.0532638247,7783.9537325202,590365.9605665947,589319.4736148851
2.99000,-18765.9946140485,0.0008190726,0.0168268648,8960.6253606647,77069.3143264388,29242.6577612549
1.07000,-45175.8169417134,0.9987187650,0.9987187650,823.3643879650,61.3046310215,61.3046310215
2.35000,-28695.8684712372,0.0880805974,0.1133268148,28959.7309820789,2716240.4634287967,1620850.0366062582
1.71000,-42921.3704154033,0.9689684314,0.9689684314,8163.5231624562,1689.4862912552,1689.4862912552
3.00000,-18683.2408217178,0.0024720901,0.0175547540,9200.0106956032,79657.1507118714,28684.8363421363
1.08000,-45170.4143597191,0.9986563718,0.9986563718,872.9124242959,65.6353529957,65.6353529957
2.36000,-28426.4700127623,0.0268024402,0.0503701908,25715.1902366202,703892.1332347213,313739.5625874829
1.72000,-42838.3860011908,0.9677211438,0.9677211438,8344.6298276914,1754.8395585875,1754.8395585875
3.01000,-18564.0645727647,0.0022879495,0.0179726237,9178.6178070757,86065.5428724251,32618.2430537558
1.09000,-45161.9162736400,0.9985592730,0.9985592730,873.8501512807,65.9254718811,65.9254718811
2.37000,-28069.1536395887,0.0039555468,0.0538506975,23037.2921186875,941331.6914929480,325233.7145631687
1.73000,-41731.3666896728,0.5805086994,0.5805086994,9069.1027679853,368224.9892277697,368224.9892277697
3.02000,-18485.8391260563,0.0023384706,0.0173140371,9149.9841579727,80610.1125849604,31274.6360408686
1.10000,-45152.2190415697,0.9984448927,0.9984448927,939.7091345354,72.4651086872,72.4651086872
2.38000,-27868.9503950911,0.0733054084,0.0899561768,25644.6968481901,1261071.7246268610,682834.0724071321
1.74000,-42682.0978050026,0.9653823321,0.9653823321,8581.5043663755,1900.4212776477,1900.4212776477
3.03000,-18419.4199808367,0.0003946184,0.0167686139,8638.0227343326,73398.8680674251,26444.4829847987
1.11000,-44344.2605051782,0.1400532488,0.1400532488,1219.8710929224,118988.3916917651,118988.3916917651
2.39000,-27682.9259279111,0.0242878316,0.0708025873,27045.1549410505,1453850.4257171021,516947.4015866708
1.75000,-41589.5395534223,0.2615277169,0.2615277169,8449.3381345321,206962.9215625610,206962.9215625610
3.04000,-18307.4997140539,0.0038178671,0.0180660197,8689.1075136679,83768.4692883747,31843.7122744353
1.12000,-45132.4039525260,0.9982146776,0.9982146776,1001.6503367497,79.1117703808,79.1117703808
2.40000,-27425.5897569554,0.0472737677,0.0620159248,23814.9906114986,686714.6372241144,346859.3487790890
1.76000,-42500.7928905629,0.9626869965,0.9626869965,9339.1700678559,2106.5644620156,2106.5644620156
3.05000,-18226.3045569922,0.0043730912,0.0193357673,8280.2590097608,93665.6840742416,34783.3367768386
1.13000,-45120.5574148003,0.9980775457,0.9980775457,1092.6530747492,86.4827492068,86.4827492068
2.41000,-27101.5664118929,0.0202618116,0.0622163105,25705.7755931334,1064028.5182034529,337144.2053550423
1.77000,-42416.9332578987,0.9615480351,0.9615480351,9887.3719126780,2254.0556263789,2254.0556263789
3.06000,-18167.7742074951,0.0016404442,0.0169405062,8578.2757952725,73449.7758192420,26416.5544994199
1.14000,-44294.6097986987,0.0597613160,0.0597613160,1492.1989340751,42390.2341860516,42390.2341860516
2.42000,-26803.7626805884,0.0125714935,0.0420223549,23905.6397374923,615400.1784108011,279050.2170269027
1.78000,-42304.6832849575,0.9596238264,0.9596238264,8323.2826037383,2034.3548418431,2034.3548418431
3.07000,-18066.4253188451,0.0008494049,0.0180884598,8015.3341113994,84268.5146964943,30432.7208213330
1.15000,-44286.1107058163,0.0500385233,0.0500385239,1484.9455737887,158631.3159316355,158631.2890588774
2.43000,-26726.9852130873,0.0355202628,0.0696480360,25490.3105931871,1230427.5107784271,482685.8748603223
1.79000,-42229.3600737535,0.9585820976,0.9585820976,9861.6136999628,2510.4152179630,2510.4152179630
3.08000,-17984.3876627620,0.0007419727,0.0169152492,7989.6712242089,74010.9791708603,27071.8846823803
1.16000,-44263.4387690149,0.3470095790,0.3470095790,1593.8250777200,332269.7599112217,332269.7599112217
2.44000,-26444.0530926216,0.0013657634,0.0633519391,22838.7771925477,1425415.3086938614,593089.9151868805
1.80000,-42124.7906659706,0.9568921124,0.9568921124,9864.0212728653,2559.7207846906,2559.7207846906
3.09000,-17913.9222675274,0.0013300662,0.0171477725,7877.4355013344,74211.0805185007,26325.8881947358
1.17000,-45072.2779916512,0.9975080372,0.9975080372,1324.8063751810,111.6330317962,111.6330317962
2.45000,-26209.6465731117,0.0400384935,0.0714075192,20140.9742675092,1454746.1040426863,732368.0929616331
1.81000,-42034.6845144645,0.9554689869,0.9554689869,10123.7451056815,2697.0699127208,2697.0699127208
3.10000,-17834.9108585461,0.0001573421,0.0159405464,8011.8229695029,64950.4515513887,23458.1588601482
1.18000,-45061.2601352155,0.9973775239,0.9973775239,1319.0448166001,112.7710269669,112.7710269669
2.46000,-25960.1177657914,0.0203410981,0.0456645642,21641.6601704601,559694.7411578405,215713.8864241671
1.82000,-40893.4301791058,0.0096577319,0.0257557451,10195.7449110763,259074.9757682501,100500.0581033051
3.11000,-17728.2443265228,0.0010914152,0.0174649279,8211.7787881586,76105.8086853662,26647.5408410279
1.19000,-45048.7819702296,0.9972320314,0.9972320314,1469.5939087664,126.0888755322,126.0888755322
2.47000,-25812.4678461908,0.0407300227,0.0460081149,18450.8045206741,359192.9919070371,265360.0897409911
1.83000,-41825.0280524484,0.9521534837,0.9521534837,10037.6559138928,2824.3639162329,2824.3639162329
3.12000,-17673.2848746597,0.0021065716,0.0167612806,7813.4198831535,69267.2808781970,24402.0294877026
1.20000,-44194.9442573688,0.0744478071,0.0744478071,1843.9551972681,318427.8651757783,318427.8651757783
2.48000,-25550.5965591954,0.0165115994,0.0359566703,20017.1304223565,369691.9302282357,161425.3292474481
1.84000,-41696.7747831592,0.9500285345,0.9500285345,11429.3190307338,3233.4866561320,3233.4866561320
3.13000,-17583.3972512522,0.0012254620,0.0177458220,7482.2768557585,82967.2610384523,32275.5523050812
