T,E,M,M_abs,Cv,Chim,Chim_abs
2.83000,-20323.1633041087,0.0007004001,0.0202337278,10712.2674540665,117332.5596443982,44183.3375429989
2.63000,-22889.7857893525,0.0093565032,0.0247905552,14385.6229368339,171901.7217049851,70453.9427186028
2.73000,-21536.1268360558,0.0036857894,0.0237273736,13200.0388473348,162701.8337500827,60820.7430502010
2.84000,-20257.1497540018,0.0002053584,0.0203316813,10592.4164925337,119192.8597839173,45512.9687200408
2.64000,-22767.6779839942,0.0065507279,0.0279821635,13812.2730914425,231069.1575153788,89148.5975270062
2.74000,-21436.1076251306,0.0001439370,0.0227858284,12418.3529142620,149614.8529241374,53690.9613578904
2.85000,-20095.7726294517,0.0055061643,0.0221451081,10362.5541097680,136048.2816129705,54322.1297458659
2.65000,-22629.2187093935,0.0002992041,0.0268682392,14383.8485218104,208846.9658309360,70953.4916122210
2.75000,-21312.2737252707,0.0035106822,0.0258378103,13748.9849474253,177260.9241639710,56632.1248859935
2.86000,-20028.2806833030,0.0008767271,0.0235132353,10575.8666811397,152881.9049917214,55153.7795965494
2.66000,-22471.5696402766,0.0158223059,0.0329218819,13468.0133978982,287022.6083412248,128390.3226740001
2.76000,-21175.6518357957,0.0010201843,0.0220297788,12691.3353368465,132905.8621486505,44079.0942046483
2.87000,-19913.8022803634,0.0025483385,0.0207755828,10727.8343354322,115020.8774673494,40030.4686890291
2.67000,-22331.0236847673,0.0036670343,0.0289127181,13665.7752204322,243915.8223670848,87964.6328111586
2.77000,-21021.3914412744,0.0073394100,0.0235989372,11295.4846794303,148160.2470609492,56223.2553291269
2.88000,-19798.0929736977,0.0020726243,0.0201498597,10590.6001808349,111564.2779576483,40949.2452514609
2.68000,-22207.3224126532,0.0087661033,0.0289085761,14044.8242999359,256497.6460844396,113149.3304402542
2.78000,-20898.7526921412,0.0029870747,0.0213042878,12249.6839676311,133609.2329917197,52581.9057767715
2.89000,-19701.4873337589,0.0021467539,0.0196762301,10661.6857857887,105316.8325193738,38305.1895526911
2.69000,-22074.9684019012,0.0020166845,0.0288196828,13411.4217431906,238519.0077293421,82972.8296879902
2.79000,-20795.3340633970,0.0083445110,0.0251481113,11826.7995196969,159495.1590027055,57374.8013216032
2.90000,-19610.6133185452,0.0065399629,0.0219264212,10937.7477110708,122239.0574292597,45778.4035162510
2.70000,-21940.2379697230,0.0015481910,0.0264143206,13824.4556297736,192379.2041652714,62006.8095021066
2.80000,-20677.8751470464,0.0018311206,0.0233893084,11730.4945588720,150824.6660850864,52520.5451221685
2.91000,-19487.3875395518,0.0012586066,0.0197108067,10345.4616967907,107112.5389195561,39798.3707199746
2.71000,-21787.5247514811,0.0024224243,0.0297129506,12506.7374057671,254015.4561251423,90186.3628852068
2.81000,-20571.6122448606,0.0078748099,0.0227388296,11203.0506398461,131279.8646223806,49299.4800815118
2.92000,-19382.6086051069,0.0029398323,0.0197842087,10405.6857405085,101734.7976077150,35372.3054782444
2.72000,-21691.8734759636,0.0078140716,0.0262734455,12964.6423298488,195983.5290766814,78869.6227056371
2.82000,-20450.1997039703,0.0020075127,0.0208566165,10621.7158861422,124103.3760812718,46735.3889426015
