T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
2.66000,1.00000,0.49387,0.28807,0.18393,0.12334,0.08495,0.05963,0.04244,0.03063,0.02244,0.01658,0.01235,0.00909,0.00678,0.00513,0.00404,0.00318,0.00239,0.00171,0.00123,0.00096,0.00089,0.00071,0.00051,0.00021,-0.00004,-0.00012,-0.00020,-0.00025,-0.00034,-0.00042,-0.00068,-0.00082,-0.00080,-0.00087,-0.00087,-0.00084,-0.00067,-0.00052,-0.00046,-0.00030,-0.00014,0.00015,0.00037,0.00056,0.00074,0.00073,0.00064,0.00047,0.00026,0.00011,0.00005,0.00004,0.00015,0.00029,0.00028,0.00037,0.00039,0.00041,0.00026,0.00018,0.00002,-0.00016,-0.00030,-0.00027,-0.00008,0.00029,0.00047,0.00060,0.00071,0.00081,0.00092,0.00090,0.00078,0.00062,0.00052
2.76000,1.00000,0.46505,0.25418,0.15197,0.09566,0.06210,0.04098,0.02736,0.01842,0.01233,0.00844,0.00590,0.00441,0.00329,0.00266,0.00203,0.00156,0.00134,0.00116,0.00066,0.00024,-0.00025,-0.00070,-0.00101,-0.00119,-0.00118,-0.00108,-0.00096,-0.00077,-0.00064,-0.00024,0.00009,0.00030,0.00048,0.00041,0.00033,0.00017,0.00005,0.00014,0.00032,0.00036,0.00028,0.00023,0.00001,-0.00014,-0.00039,-0.00058,-0.00063,-0.00069,-0.00079,-0.00090,-0.00086,-0.00081,-0.00078,-0.00069,-0.00070,-0.00064,-0.00050,-0.00034,-0.00005,-0.00005,0.00007,0.00029,0.00040,0.00049,0.00049,0.00044,0.00036,0.00023,0.00007,0.00002,0.00008,0.00016,0.00014,0.00011,0.00009
2.87000,1.00000,0.43704,0.22331,0.12503,0.07365,0.04465,0.02771,0.01733,0.01085,0.00692,0.00439,0.00292,0.00192,0.00127,0.00065,0.00032,0.00014,-0.00020,-0.00060,-0.00067,-0.00073,-0.00071,-0.00054,-0.00059,-0.00082,-0.00105,-0.00102,-0.00083,-0.00061,-0.00039,-0.00029,-0.00015,-0.00023,-0.00030,-0.00042,-0.00055,-0.00059,-0.00051,-0.00057,-0.00070,-0.00070,-0.00033,-0.00012,-0.00002,-0.00005,0.00001,0.00022,0.00049,0.00064,0.00067,0.00049,0.00035,0.00040,0.00038,0.00040,0.00055,0.00071,0.00085,0.00096,0.00096,0.00089,0.00076,0.00064,0.00046,0.00021,-0.00002,-0.00014,-0.00013,-0.00007,-0.00010,-0.00011,-0.00015,-0.00013,-0.00032,-0.00060,-0.00069
2.67000,1.00000,0.49075,0.28413,0.17959,0.11882,0.08070,0.05559,0.03866,0.02726,0.01946,0.01407,0.01011,0.00727,0.00509,0.00346,0.00231,0.00149,0.00082,0.00027,-0.00010,-0.00024,0.00002,0.00037,0.00081,0.00091,0.00098,0.00086,0.00083,0.00060,0.00051,0.00041,0.00022,-0.00007,-0.00055,-0.00097,-0.00122,-0.00139,-0.00129,-0.00115,-0.00093,-0.00073,-0.00061,-0.00059,-0.00055,-0.00048,-0.00043,-0.00049,-0.00046,-0.00038,-0.00027,-0.00037,-0.00029,-0.00023,-0.00016,-0.00022,-0.00025,-0.00021,-0.00003,0.00017,0.00053,0.00097,0.00145,0.00191,0.00230,0.00251,0.00250,0.00229,0.00214,0.00205,0.00191,0.00185,0.00195,0.00178,0.00171,0.00163,0.00169
2.77000,1.00000,0.46161,0.25013,0.14825,0.09240,0.05942,0.03900,0.02592,0.01740,0.01162,0.00781,0.00526,0.00339,0.00222,0.00139,0.00083,0.00052,0.00029,0.00007,-0.00004,-0.00016,-0.00039,-0.00044,-0.00047,-0.00043,-0.00034,-0.00034,-0.00029,-0.00049,-0.00057,-0.00075,-0.00078,-0.00067,-0.00061,-0.00054,-0.00034,0.00001,0.00031,0.00052,0.00036,0.00040,0.00045,0.00040,0.00041,0.00055,0.00064,0.00075,0.00084,0.00087,0.00060,0.00054,0.00048,0.00044,0.00053,0.00050,0.00035,0.00031,0.00040,0.00039,-0.00001,-0.00024,-0.00052,-0.00070,-0.00084,-0.00085,-0.00089,-0.00076,-0.00044,-0.00011,-0.00014,-0.00029,-0.00048,-0.00058,-0.00063,-0.00078,-0.00082
2.88000,1.00000,0.43445,0.22029,0.12235,0.07132,0.04287,0.02636,0.01648,0.01052,0.00661,0.00411,0.00263,0.00184,0.00120,0.00091,0.00068,0.00049,0.00018,-0.00000,-0.00016,-0.00014,-0.00014,0.00001,0.00002,0.00005,-0.00007,-0.00019,-0.00033,-0.00047,-0.00053,-0.00051,-0.00032,-0.00013,-0.00004,-0.00002,-0.00008,0.00001,-0.00004,-0.00011,0.00003,0.00014,0.00013,0.00009,0.00009,0.00004,-0.00005,-0.00010,-0.00002,-0.00004,0.00010,0.00039,0.00070,0.00072,0.00044,0.00013,-0.00014,-0.00018,-0.00008,0.00002,0.00011,0.00013,-0.00002,-0.00019,-0.00010,0.00005,0.00017,0.00023,0.00017,0.00007,-0.00005,0.00004,0.00017,0.00026,0.00041,0.00053,0.00075
2.68000,1.00000,0.48798,0.28087,0.17684,0.11680,0.07926,0.05463,0.03794,0.02646,0.01866,0.01314,0.00926,0.00655,0.00454,0.00306,0.00195,0.00127,0.00079,0.00026,-0.00016,-0.00059,-0.00097,-0.00105,-0.00101,-0.00083,-0.00060,-0.00044,-0.00024,-0.00005,0.00000,0.00006,0.00008,0.00025,0.00046,0.00063,0.00102,0.00129,0.00149,0.00180,0.00175,0.00159,0.00136,0.00118,0.00120,0.00126,0.00147,0.00147,0.00137,0.00132,0.00123,0.00114,0.00110,0.00104,0.00083,0.00072,0.00072,0.00072,0.00062,0.00053,0.00053,0.00078,0.00109,0.00135,0.00172,0.00173,0.00162,0.00158,0.00150,0.00132,0.00114,0.00083,0.00075,0.00057,0.00056,0.00040,0.00035
2.78000,1.00000,0.45891,0.24705,0.14564,0.09018,0.05731,0.03690,0.02398,0.01596,0.01096,0.00752,0.00528,0.00378,0.00294,0.00235,0.00182,0.00130,0.00111,0.00094,0.00094,0.00099,0.00106,0.00106,0.00086,0.00079,0.00058,0.00045,0.00018,0.00007,-0.00013,-0.00027,-0.00030,-0.00038,-0.00048,-0.00038,-0.00029,-0.00024,-0.00040,-0.00059,-0.00066,-0.00058,-0.00046,-0.00032,-0.00013,0.00013,0.00015,0.00028,0.00038,0.00022,-0.00009,-0.00026,-0.00027,-0.00029,-0.00036,-0.00049,-0.00049,-0.00048,-0.00051,-0.00048,-0.00046,-0.00051,-0.00059,-0.00082,-0.00087,-0.00106,-0.00115,-0.00137,-0.00161,-0.00186,-0.00217,-0.00223,-0.00234,-0.00234,-0.00234,-0.00223,-0.00227
2.89000,1.00000,0.43228,0.21798,0.12035,0.06988,0.04175,0.02540,0.01575,0.01012,0.00651,0.00426,0.00271,0.00177,0.00134,0.00102,0.00081,0.00072,0.00061,0.00050,0.00039,0.00007,-0.00035,-0.00050,-0.00051,-0.00049,-0.00053,-0.00052,-0.00047,-0.00041,-0.00028,-0.00020,-0.00011,-0.00000,0.00009,0.00011,0.00009,0.00013,0.00008,0.00013,0.00027,0.00042,0.00052,0.00075,0.00085,0.00084,0.00070,0.00039,-0.00010,-0.00008,-0.00007,-0.00009,-0.00014,-0.00012,-0.00007,0.00003,-0.00002,-0.00020,-0.00029,-0.00035,-0.00049,-0.00026,0.00000,-0.00004,0.00003,0.00015,0.00015,0.00017,-0.00006,-0.00016,-0.00001,0.00008,0.00006,0.00005,0.00006,0.00010,0.00025
2.69000,1.00000,0.48505,0.27755,0.17384,0.11425,0.07729,0.05330,0.03723,0.02616,0.01839,0.01297,0.00917,0.00648,0.00458,0.00319,0.00229,0.00175,0.00133,0.00103,0.00082,0.00076,0.00066,0.00060,0.00060,0.00075,0.00099,0.00112,0.00120,0.00119,0.00118,0.00121,0.00117,0.00102,0.00109,0.00111,0.00108,0.00096,0.00081,0.00062,0.00045,0.00032,0.00038,0.00043,0.00044,0.00049,0.00054,0.00063,0.00077,0.00087,0.00119,0.00135,0.00110,0.00087,0.00069,0.00058,0.00052,0.00042,0.00048,0.00061,0.00054,0.00034,0.00014,-0.00020,-0.00041,-0.00065,-0.00079,-0.00070,-0.00080,-0.00056,-0.00065,-0.00070,-0.00074,-0.00088,-0.00096,-0.00096,-0.00089
