T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.75000,1.00000,0.46807,0.25779,0.15528,0.09841,0.06467,0.04434,0.03118,0.02203,0.01492,0.01035,0.00690,0.00443,0.00202,0.00037,-0.00061,-0.00074,-0.00045,-0.00011,0.00040,-0.00021,-0.00105,-0.00152,-0.00140,-0.00114,-0.00077
1.91000,1.00000,0.90134,0.88183,0.87682,0.87524,0.87458,0.87433,0.87426,0.87430,0.87425,0.87420,0.87414,0.87410,0.87414,0.87414,0.87416,0.87414,0.87414,0.87416,0.87413,0.87413,0.87416,0.87420,0.87416,0.87421,0.87427
1.08000,1.00000,0.94520,0.89617,0.84925,0.80377,0.75932,0.71581,0.67337,0.63261,0.59468,0.56104,0.53307,0.51088,0.49397,0.48133,0.47181,0.46469,0.45949,0.45588,0.45352,0.45210,0.45138,0.45099,0.45075,0.45060,0.45058
2.76000,1.00000,0.46465,0.25418,0.15280,0.09657,0.06344,0.04266,0.02918,0.02054,0.01492,0.01054,0.00718,0.00435,0.00259,0.00184,0.00189,0.00171,0.00170,0.00171,0.00178,0.00178,0.00198,0.00239,0.00267,0.00231,0.00232
1.92000,1.00000,0.89825,0.87817,0.87320,0.87169,0.87127,0.87122,0.87121,0.87108,0.87114,0.87119,0.87126,0.87132,0.87126,0.87127,0.87126,0.87131,0.87133,0.87132,0.87125,0.87121,0.87126,0.87124,0.87118,0.87118,0.87112
1.09000,1.00000,0.99725,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718,0.99718
2.77000,1.00000,0.46287,0.25234,0.15111,0.09546,0.06271,0.04198,0.02898,0.01989,0.01410,0.01043,0.00772,0.00592,0.00413,0.00272,0.00187,0.00079,0.00006,-0.00036,-0.00116,-0.00202,-0.00298,-0.00335,-0.00323,-0.00310,-0.00313
1.93000,1.00000,0.89461,0.87257,0.86632,0.86403,0.86304,0.86256,0.86223,0.86201,0.86199,0.86190,0.86195,0.86188,0.86187,0.86192,0.86195,0.86190,0.86183,0.86183,0.86181,0.86180,0.86180,0.86185,0.86191,0.86194,0.86195
1.10000,1.00000,0.99710,0.99701,0.99701,0.99701,0.99701,0.99701,0.99700,0.99700,0.99701,0.99700,0.99701,0.99701,0.99701,0.99701,0.99701,0.99700,0.99701,0.99701,0.99700,0.99701,0.99701,0.99701,0.99701,0.99701,0.99701
2.78000,1.00000,0.46058,0.24972,0.14888,0.09316,0.06062,0.04065,0.02739,0.01833,0.01217,0.00805,0.00559,0.00407,0.00287,0.00163,0.00058,0.00027,-0.00006,-0.00011,0.00016,0.00028,0.00015,-0.00001,-0.00067,-0.00085,-0.00075
1.94000,1.00000,0.89281,0.87103,0.86546,0.86377,0.86334,0.86306,0.86298,0.86296,0.86291,0.86283,0.86285,0.86285,0.86288,0.86297,0.86294,0.86294,0.86291,0.86288,0.86292,0.86293,0.86292,0.86298,0.86290,0.86288,0.86285
1.11000,1.00000,0.99694,0.99686,0.99686,0.99685,0.99686,0.99685,0.99685,0.99686,0.99686,0.99685,0.99685,0.99685,0.99686,0.99686,0.99685,0.99686,0.99685,0.99685,0.99685,0.99685,0.99685,0.99685,0.99685,0.99685,0.99685
2.79000,1.00000,0.45737,0.24571,0.14505,0.09061,0.05840,0.03823,0.02537,0.01599,0.01031,0.00631,0.00397,0.00221,0.00116,-0.00019,-0.00051,0.00019,0.00035,0.00098,0.00162,0.00212,0.00236,0.00305,0.00422,0.00575,0.00620
1.95000,1.00000,0.89103,0.86910,0.86355,0.86198,0.86150,0.86126,0.86116,0.86110,0.86104,0.86104,0.86106,0.86106,0.86112,0.86111,0.86114,0.86117,0.86124,0.86129,0.86121,0.86114,0.86113,0.86111,0.86123,0.86117,0.86121
1.12000,1.00000,0.99655,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646,0.99646
2.80000,1.00000,0.45349,0.24073,0.13914,0.08444,0.05198,0.03207,0.02004,0.01272,0.00760,0.00502,0.00297,0.00166,0.00045,-0.00031,-0.00056,-0.00114,-0.00126,-0.00136,-0.00174,-0.00206,-0.00229,-0.00256,-0.00229,-0.00200,-0.00167
1.96000,1.00000,0.88572,0.86163,0.85507,0.85273,0.85195,0.85170,0.85156,0.85155,0.85149,0.85150,0.85155,0.85151,0.85156,0.85152,0.85144,0.85154,0.85160,0.85156,0.85156,0.85158,0.85158,0.85159,0.85156,0.85156,0.85147
1.13000,1.00000,0.99629,0.99616,0.99615,0.99615,0.99615,0.99616,0.99615,0.99615,0.99615,0.99615,0.99615,0.99615,0.99615,0.99616,0.99615,0.99615,0.99616,0.99615,0.99615,0.99616,0.99615,0.99616,0.99615,0.99615,0.99616
2.81000,1.00000,0.45111,0.23872,0.13809,0.08393,0.05248,0.03337,0.02152,0.01346,0.00821,0.00478,0.00293,0.00139,0.00046,0.00002,-0.00033,-0.00054,-0.00043,-0.00033,-0.00011,0.00064,0.00185,0.00290,0.00294,0.00307,0.00276
1.97000,1.00000,0.88314,0.85806,0.85088,0.84829,0.84717,0.84667,0.84647,0.84632,0.84636,0.84645,0.84638,0.84635,0.84631,0.84632,0.84627,0.84622,0.84612,0.84622,0.84624,0.84628,0.84627,0.84626,0.84635,0.84627,0.84634
1.14000,1.00000,0.99589,0.99575,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574,0.99574
2.82000,1.00000,0.44814,0.23493,0.13454,0.08061,0.04966,0.03126,0.02053,0.01341,0.00880,0.00588,0.00429,0.00353,0.00286,0.00347,0.00381,0.00367,0.00339,0.00320,0.00265,0.00195,0.00088,-0.00041,-0.00056,-0.00067,-0.00060
1.98000,1.00000,0.87976,0.85376,0.84652,0.84407,0.84308,0.84270,0.84247,0.84242,0.84220,0.84214,0.84220,0.84218,0.84217,0.84213,0.84216,0.84214,0.84207,0.84202,0.84214,0.84221,0.84223,0.84223,0.84217,0.84205,0.84208
1.15000,1.00000,0.99604,0.99592,0.99591,0.99591,0.99591,0.99591,0.99591,0.99592,0.99591,0.99591,0.99592,0.99592,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0.99592,0.99592,0.99592
2.83000,1.00000,0.44786,0.23567,0.13565,0.08244,0.05193,0.03319,0.02117,0.01349,0.00827,0.00488,0.00346,0.00367,0.00370,0.00375,0.00389,0.00367,0.00292,0.00242,0.00194,0.00154,0.00137,0.00102,0.00103,0.00054,0.00078
1.99000,1.00000,0.87573,0.84787,0.83982,0.83694,0.83564,0.83497,0.83451,0.83424,0.83409,0.83405,0.83405,0.83401,0.83398,0.83408,0.83406,0.83404,0.83408,0.83415,0.83416,0.83416,0.83415,0.83420,0.83424,0.83420,0.83419
1.16000,1.00000,0.99559,0.99545,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99545,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99544,0.99545,0.99545,0.99544,0.99544,0.99544,0.99544
2.84000,1.00000,0.44329,0.23032,0.13137,0.07931,0.04963,0.03126,0.01994,0.01308,0.00883,0.00602,0.00417,0.00339,0.00286,0.00209,0.00141,0.00050,0.00005,-0.00038,-0.00009,0.00067,0.00091,0.00141,0.00168,0.00143,0.00156
2.00000,1.00000,0.87432,0.84663,0.83902,0.83656,0.83571,0.83538,0.83521,0.83512,0.83511,0.83511,0.83515,0.83517,0.83522,0.83539,0.83528,0.83521,0.83522,0.83527,0.83527,0.83532,0.83528,0.83526,0.83531,0.83525,0.83525
1.17000,1.00000,0.99523,0.99505,0.99505,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0.99505,0.99504,0.99504,0.99504,0.99504
2.85000,1.00000,0.43996,0.22542,0.12554,0.07277,0.04325,0.02588,0.01556,0.00967,0.00602,0.00416,0.00257,0.00131,0.00003,-0.00060,-0.00065,-0.00091,-0.00094,-0.00021,0.00028,0.00055,0.00049,0.00111,0.00195,0.00225,0.00228
2.01000,1.00000,0.86679,0.83555,0.82572,0.82187,0.82023,0.81950,0.81903,0.81869,0.81856,0.81863,0.81863,0.81859,0.81858,0.81863,0.81861,0.81876,0.81878,0.81869,0.81882,0.81883,0.81881,0.81885,0.81879,0.81867,0.81856
1.18000,1.00000,0.99488,0.99467,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466,0.99466
2.86000,1.00000,0.43824,0.22420,0.12565,0.07449,0.04555,0.02846,0.01789,0.01140,0.00746,0.00500,0.00382,0.00268,0.00224,0.00223,0.00182,0.00101,-0.00066,-0.00128,-0.00196,-0.00251,-0.00227,-0.00144,-0.00064,-0.00055,-0.00078
2.02000,1.00000,0.86418,0.83227,0.82239,0.81867,0.81699,0.81614,0.81582,0.81576,0.81570,0.81571,0.81583,0.81589,0.81588,0.81591,0.81597,0.81593,0.81585,0.81590,0.81585,0.81585,0.81590,0.81591,0.81587,0.81577,0.81580
1.19000,1.00000,0.99482,0.99463,0.99462,0.99462,0.99462,0.99463,0.99463,0.99462,0.99462,0.99462,0.99462,0.99462,0.99462,0.99462,0.99462,0.99462,0.99463,0.99462,0.99463,0.99462,0.99462,0.99462,0.99463,0.99462,0.99462
2.87000,1.00000,0.43624,0.22182,0.12330,0.07247,0.04379,0.02651,0.01604,0.00911,0.00485,0.00254,0.00145,0.00065,-0.00006,-0.00002,-0.00030,-0.00031,-0.00011,-0.00008,0.00044,0.00059,0.00026,-0.00030,0.00003,0.00011,-0.00021
2.03000,1.00000,0.86155,0.82890,0.81873,0.81482,0.81300,0.81214,0.81173,0.81160,0.81146,0.81140,0.81140,0.81135,0.81125,0.81135,0.81137,0.81141,0.81142,0.81144,0.81133,0.81136,0.81130,0.81131,0.81132,0.81139,0.81142
