T,E,M,M_abs,Cv,Chim,Chim_abs
2.00000,-4171.5443356551,0.9138995868,0.9138995868,1806.1165791536,829.0134861167,829.0134861167
1.17000,-4776.1136659083,0.9975157093,0.9975157093,143.1960643995,12.1264418396,12.1264418396
2.85000,-2000.2643843150,0.0098918540,0.0565308349,1165.3700692610,11427.5265392102,4633.9157390701
2.01000,-4133.9317804635,0.9048038070,0.9048038070,1823.9143085796,1201.6185289531,1201.6185289531
1.18000,-4774.3726262539,0.9973262578,0.9973262578,157.2923935764,13.6481443404,13.6481443404
2.86000,-1990.9852790365,0.0032546508,0.0606802365,1105.2811401490,13141.9283050256,5118.5490315716
2.02000,-4120.9034815791,0.9032627742,0.9032627742,1972.5371944120,1154.7590650314,1154.7590650314
1.19000,-4774.1327561654,0.9973106275,0.9973106275,152.7703542416,12.9926786484,12.9926786484
2.87000,-1981.4240793559,0.0067855996,0.0581181324,1105.2492220938,11861.4054818307,4606.0201466153
2.03000,-4107.8114127854,0.9007845836,0.9007845836,2152.5420725712,1318.5252236762,1318.5252236762
1.20000,-4771.9944147987,0.9970772884,0.9970772884,165.6318604041,14.5818370868,14.5818370868
2.88000,-1977.0155827190,0.0106444684,0.0637826793,1140.5063082180,13374.1056648556,4791.3680960932
2.04000,-4092.5293081456,0.8985609744,0.8985609744,2017.1119385843,1178.5178361871,1178.5178361871
1.21000,-4769.9770023406,0.9968647419,0.9968647419,181.7629683312,16.0625882662,16.0625882662
2.89000,-1955.6095635205,0.0015782339,0.0590083827,1149.6325072906,11732.8242503053,4207.9574653419
2.05000,-4058.5382025375,0.8901379782,0.8901379782,2471.9168537278,1671.7442984379,1671.7442984379
1.22000,-4767.0116363426,0.9965446241,0.9965446241,204.7037888540,18.4010624053,18.4010624053
2.90000,-1955.5500022405,0.0051993548,0.0654893853,1103.9639862580,13673.1101232229,4488.1396623116
2.06000,-4046.2079126215,0.8895088262,0.8895088262,1994.5508127659,1199.0834467841,1199.0834467841
1.23000,-4765.6400091528,0.9964071976,0.9964071976,191.0523662547,17.2011841444,17.2011841444
2.91000,-1935.4324233602,0.0172110424,0.0593372584,1096.4623101106,10911.2242048152,3985.3430647260
2.07000,-4024.9211043008,0.8839509960,0.8839509960,2344.6639953482,1954.7698362204,1954.7698362204
1.24000,-4763.1938066225,0.9961167801,0.9961167801,211.9001122405,20.0267448210,20.0267448210
2.92000,-1927.8549811224,0.0092169000,0.0602246371,1101.0896243564,11559.9270894159,3978.4723161982
2.08000,-4003.8425961413,0.8815425602,0.8815425602,2130.9117753948,1405.5645554094,1405.5645554094
1.25000,-4761.2861679251,0.9959340593,0.9959340593,207.2578659439,19.3326961219,19.3326961219
2.93000,-1909.2474620835,0.0049566623,0.0563450994,1097.5553387113,10329.4518886238,3609.7383122311
2.09000,-3967.5041705420,0.8709216676,0.8709216676,2322.0581575740,1959.9758195949,1959.9758195949
1.26000,-4479.7311151826,0.3285187459,0.3285187459,344.2051568256,67013.4755833386,67013.4755833386
2.94000,-1904.1371734445,0.0003238420,0.0578986936,1012.9772215876,10904.5459744091,3778.3685865307
2.10000,-3958.5871545422,0.8683648862,0.8683648862,2415.8289284836,2373.6874377315,2373.6874377315
1.27000,-4757.8243833410,0.9955477954,0.9955477954,230.6253476934,22.2050324038,22.2050324038
2.95000,-1891.9386521658,0.0089776621,0.0566092632,1066.9241629906,10892.6341785910,4273.9683759720
