T,0,1,2,3,4,5,6,7,8,9,10
3.44000,1.00000,0.34017,0.13155,0.05580,0.02394,0.01017,0.00428,0.00223,0.00069,0.00138,0.00161
1.77000,1.00000,0.93588,0.92581,0.92367,0.92314,0.92295,0.92297,0.92284,0.92278,0.92277,0.92286
2.61000,1.00000,0.50913,0.30575,0.20071,0.13938,0.10192,0.07793,0.06173,0.05159,0.04699,0.04507
3.45000,1.00000,0.33686,0.12952,0.05445,0.02326,0.00923,0.00362,0.00077,0.00119,0.00072,0.00026
1.78000,1.00000,0.93271,0.92204,0.91999,0.91958,0.91939,0.91938,0.91930,0.91931,0.91927,0.91927
2.62000,1.00000,0.50415,0.29901,0.19302,0.13082,0.09150,0.06556,0.04807,0.03680,0.03177,0.02988
3.46000,1.00000,0.33638,0.12777,0.05279,0.02322,0.00969,0.00341,0.00020,-0.00060,-0.00018,-0.00032
1.79000,1.00000,0.93091,0.91962,0.91714,0.91631,0.91618,0.91602,0.91601,0.91593,0.91599,0.91592
2.63000,1.00000,0.50378,0.30235,0.20111,0.14147,0.10302,0.07584,0.05768,0.04621,0.03962,0.03762
3.47000,1.00000,0.33419,0.12766,0.05270,0.02246,0.00778,0.00201,-0.00001,0.00090,0.00090,0.00119
1.80000,1.00000,0.93033,0.91935,0.91724,0.91664,0.91642,0.91645,0.91642,0.91639,0.91651,0.91648
2.64000,1.00000,0.50410,0.30222,0.19946,0.14025,0.10338,0.07924,0.06395,0.05501,0.05104,0.05008
3.48000,1.00000,0.33099,0.12298,0.04944,0.02064,0.00953,0.00544,0.00284,0.00255,0.00167,0.00151
1.81000,1.00000,0.92713,0.91488,0.91199,0.91100,0.91065,0.91050,0.91039,0.91034,0.91032,0.91039
2.65000,1.00000,0.49949,0.29662,0.19277,0.13127,0.09161,0.06659,0.05074,0.04018,0.03474,0.03302
3.49000,1.00000,0.33287,0.12549,0.05196,0.02353,0.01030,0.00337,-0.00045,-0.00193,-0.00134,-0.00073
1.82000,1.00000,0.92330,0.91023,0.90722,0.90642,0.90622,0.90609,0.90609,0.90601,0.90618,0.90617
2.66000,1.00000,0.48564,0.27653,0.17022,0.10806,0.07049,0.04677,0.03176,0.02315,0.01837,0.01651
3.50000,1.00000,0.33003,0.12531,0.05236,0.02349,0.01159,0.00483,0.00149,-0.00017,0.00011,-0.00012
1.83000,1.00000,0.92178,0.90825,0.90534,0.90456,0.90447,0.90430,0.90432,0.90440,0.90443,0.90440
2.67000,1.00000,0.49328,0.28863,0.18511,0.12445,0.08556,0.06093,0.04567,0.03779,0.03378,0.03311
