T,E,M,M_abs,Cv,Chim,Chim_abs
1.00000,-934.9222279698,0.9993125000,0.9993125000,9.3738221800,0.6301076853,0.6301076853
2.68000,-531.0457620006,0.0071635225,0.2402388125,275.6214697077,5086.8515721175,1644.2622600682
1.84000,-873.8327080087,0.9523306725,0.9523306725,174.2967017728,42.4391754566,42.4391754566
2.69000,-527.4069399999,0.0288925400,0.2009540000,251.9688880237,3502.6401863145,1150.3587737721
1.01000,-934.7265359704,0.9991886525,0.9991886525,10.2802394335,0.6909593386,0.6909593386
1.85000,-871.5494320077,0.9496743450,0.9496743450,188.6919204024,51.8126412201,51.8126412201
1.02000,-934.5122239709,0.9990433825,0.9990433825,12.0158567579,0.8375486902,0.8375486902
2.70000,-520.6687079999,0.0496772075,0.1946947825,223.5850486034,3119.5283477076,1019.4848876929
1.86000,-866.8303360067,0.9447384175,0.9447384175,225.5470611780,75.4759486052,75.4759486052
1.03000,-934.5860619704,0.9990995500,0.9990995500,10.5916664831,0.7309347988,0.7309347988
2.71000,-520.3735200001,0.0187398275,0.2022106875,243.9795342220,3586.7678628938,1193.3815305275
1.87000,-865.8618400067,0.9442438600,0.9442438600,229.7225243206,70.2722517053,70.2722517053
1.04000,-934.5607039703,0.9990879900,0.9990879900,10.9547214009,0.7434831381,0.7434831381
2.72000,-519.1752640001,0.0036751725,0.2143967425,241.6062046831,3802.4947423366,1099.4090775262
1.88000,-865.4327920080,0.9442332475,0.9442332475,222.8563941810,65.3222694338,65.3222694338
1.05000,-934.2019219708,0.9988528750,0.9988528750,13.2280190824,0.9332430204,0.9332430204
2.73000,-516.5652720001,0.0136462700,0.2171624450,265.3427753079,3993.2585415519,1240.2442216409
1.89000,-863.2435160062,0.9422865850,0.9422865850,203.8767547021,63.4453310251,63.4453310251
1.06000,-934.3329139707,0.9989381375,0.9989381375,11.8695410459,0.8394622694,0.8394622694
2.74000,-510.7847219996,0.0018948625,0.1785446225,213.4773938538,2823.5562924700,962.2662650395
1.90000,-858.3964680041,0.9368973800,0.9368973800,220.9855802748,74.2017362280,74.2017362280
2.75000,-510.6395619997,0.0155115450,0.1741355550,219.4426815353,2550.1786499921,799.9192471175
1.07000,-934.0985479709,0.9987881450,0.9987881450,13.8667628061,1.0030032362,1.0030032362
1.91000,-855.3673600032,0.9344697700,0.9344697700,235.6968823343,78.6695577622,78.6695577622
1.08000,-933.7662739708,0.9985668525,0.9985668525,15.5145587130,1.1411596297,1.1411596297
2.76000,-510.3975339997,0.0158101825,0.1861261425,232.3485944743,2893.1185850352,899.3226980070
1.92000,-857.5352420039,0.9375930175,0.9375930175,213.1668696443,64.0881077962,64.0881077962
1.09000,-933.7434459711,0.9985485250,0.9985485250,16.2057441851,1.2129098078,1.2129098078
2.77000,-508.6549459998,0.0235944100,0.1930757250,224.0181350242,3158.4997901392,1037.4000413437
1.93000,-851.6385580029,0.9301579250,0.9301579250,235.3550489671,92.7390159131,92.7390159131
1.10000,-933.5423139711,0.9983960800,0.9983960800,17.6836801118,1.4668753999,1.4668753999
2.78000,-501.1667819993,0.0125383950,0.1648724500,203.4555234003,2418.3569209089,862.9201773225
1.94000,-850.8421760031,0.9300407200,0.9300407200,230.0442176343,85.0182176578,85.0182176578
1.11000,-933.4075699709,0.9983331750,0.9983331750,17.8282250017,1.3572463098,1.3572463098
2.79000,-503.1340299995,0.0075090450,0.1639508750,208.8133820136,2442.7330103615,904.4675676996
1.95000,-850.2697820017,0.9294542750,0.9294542750,240.0305867314,89.8601334664,89.8601334664
1.12000,-933.0799299716,0.9981227300,0.9981227300,18.5842937042,1.4455798994,1.4455798994
2.80000,-500.4107859994,0.0432558450,0.1703089500,211.1789793358,2367.4782670506,816.9599628541
1.96000,-843.5437780000,0.9226352900,0.9226352900,245.7309373938,95.2274071631,95.2274071631
1.13000,-932.7811959717,0.9979237025,0.9979237025,20.3409387104,1.6098088656,1.6098088656
1.97000,-842.2733920010,0.9216404150,0.9216404150,256.8167081369,99.3027030690,99.3027030690
2.81000,-501.0572099997,0.0397497750,0.1907875150,219.6725079472,3061.1296348779,1078.5057904756
1.14000,-932.8488519718,0.9979683000,0.9979683000,20.0914536194,1.5909993990,1.5909993990
2.82000,-493.7588839991,0.0098557975,0.1667530525,201.9342757780,2437.6760847170,865.5090620963
1.98000,-838.4129659995,0.9155084800,0.9155084800,256.4149068567,129.8656415495,129.8656415495
1.15000,-932.4915859716,0.9977306600,0.9977306600,22.3866274131,1.8050950676,1.8050950676
2.83000,-496.0470359995,0.0187007850,0.1738344100,191.8486936955,2565.1990510451,876.5102742028
1.99000,-838.4423799993,0.9160680675,0.9160680675,284.2517595924,132.7378478908,132.7378478908
1.16000,-932.3750699726,0.9976482325,0.9976482325,21.3962400943,1.7600244874,1.7600244874
2.84000,-487.6313319997,0.0070431875,0.1284237175,177.2105102151,1430.9724575956,504.6037406177
2.00000,-834.9777119996,0.9132625325,0.9132625325,271.7515290974,126.5470108398,126.5470108398
1.17000,-932.3286319723,0.9976243150,0.9976243150,22.9354218161,1.8819346746,1.8819346746
2.85000,-490.8812419995,0.0222156150,0.1638928000,196.2055509905,2259.3313712352,779.0609801058
2.01000,-831.1083299998,0.9058414475,0.9058414475,311.8494475462,209.1299676410,209.1299676410
1.18000,-932.1908099724,0.9975262025,0.9975262025,22.3820020811,1.8882895885,1.8882895885
2.86000,-483.8558839995,0.0045215025,0.1525140925,190.9915514290,2046.2523372094,746.1066350436
2.02000,-828.0963339989,0.9033993050,0.9033993050,288.9553097476,158.9390960307,158.9390960307
1.19000,-931.7135339722,0.9972106775,0.9972106775,25.0018656133,2.1491822047,2.1491822047
2.87000,-482.7015219995,0.0205404000,0.1441850100,172.1565106293,1769.6228497731,634.1575354022
2.03000,-824.1508599983,0.8960903300,0.8960903300,345.1889052343,260.9255442819,260.9255442819
1.20000,-931.3322259727,0.9969534575,0.9969534575,27.6310565054,2.4449123758,2.4449123758
2.88000,-482.2827959995,0.0026003100,0.1521776700,186.9639691800,1973.7405312733,687.5582182438
