T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
2.07000,1.00000,0.84458,0.80491,0.79157,0.78597,0.78327,0.78182,0.78096,0.78046,0.78016,0.77991,0.77972,0.77963,0.77958,0.77960,0.77958,0.77959,0.77957,0.77956,0.77953,0.77953,0.77954,0.77954,0.77950,0.77947,0.77946,0.77944,0.77943,0.77944,0.77945,0.77948,0.77951,0.77949,0.77949,0.77952,0.77952,0.77950,0.77952,0.77951,0.77949,0.77945,0.77948,0.77945,0.77945,0.77946,0.77947,0.77950,0.77947,0.77946,0.77949,0.77953,0.77955,0.77951,0.77948,0.77946,0.77945,0.77947,0.77948,0.77952,0.77955,0.77952,0.77950,0.77947,0.77949,0.77953,0.77957,0.77960,0.77955,0.77953,0.77951,0.77950,0.77948,0.77947,0.77949,0.77950,0.77952
2.15000,1.00000,0.80587,0.74953,0.72780,0.71750,0.71212,0.70903,0.70713,0.70597,0.70518,0.70463,0.70428,0.70403,0.70391,0.70381,0.70370,0.70366,0.70367,0.70371,0.70369,0.70365,0.70373,0.70378,0.70376,0.70374,0.70372,0.70365,0.70363,0.70360,0.70361,0.70360,0.70351,0.70352,0.70350,0.70352,0.70353,0.70360,0.70366,0.70371,0.70373,0.70372,0.70374,0.70376,0.70373,0.70375,0.70376,0.70374,0.70371,0.70366,0.70369,0.70372,0.70382,0.70388,0.70389,0.70390,0.70392,0.70389,0.70387,0.70384,0.70384,0.70380,0.70378,0.70380,0.70375,0.70371,0.70371,0.70376,0.70379,0.70381,0.70376,0.70367,0.70368,0.70367,0.70365,0.70364,0.70358
2.22000,1.00000,0.76048,0.68115,0.64599,0.62704,0.61547,0.60788,0.60265,0.59894,0.59618,0.59410,0.59250,0.59125,0.59028,0.58958,0.58902,0.58868,0.58835,0.58808,0.58784,0.58761,0.58750,0.58737,0.58717,0.58714,0.58710,0.58702,0.58697,0.58699,0.58696,0.58699,0.58698,0.58696,0.58698,0.58699,0.58705,0.58708,0.58716,0.58722,0.58723,0.58716,0.58713,0.58712,0.58713,0.58709,0.58705,0.58699,0.58701,0.58699,0.58702,0.58705,0.58713,0.58718,0.58729,0.58744,0.58749,0.58753,0.58756,0.58761,0.58749,0.58735,0.58727,0.58718,0.58712,0.58712,0.58707,0.58702,0.58695,0.58687,0.58687,0.58688,0.58692,0.58696,0.58692,0.58689,0.58690
1.99000,1.00000,0.87627,0.84884,0.84101,0.83830,0.83723,0.83674,0.83653,0.83648,0.83645,0.83644,0.83640,0.83641,0.83639,0.83639,0.83639,0.83635,0.83636,0.83636,0.83637,0.83638,0.83635,0.83630,0.83630,0.83632,0.83632,0.83637,0.83640,0.83641,0.83638,0.83640,0.83636,0.83634,0.83635,0.83634,0.83635,0.83636,0.83638,0.83640,0.83638,0.83640,0.83639,0.83639,0.83640,0.83640,0.83639,0.83638,0.83637,0.83640,0.83640,0.83645,0.83643,0.83642,0.83641,0.83641,0.83641,0.83645,0.83645,0.83644,0.83642,0.83639,0.83639,0.83636,0.83635,0.83636,0.83636,0.83638,0.83636,0.83635,0.83634,0.83635,0.83637,0.83637,0.83638,0.83640,0.83640
2.08000,1.00000,0.84084,0.79981,0.78586,0.78010,0.77739,0.77602,0.77528,0.77483,0.77456,0.77440,0.77429,0.77426,0.77424,0.77420,0.77416,0.77415,0.77411,0.77408,0.77410,0.77408,0.77406,0.77403,0.77405,0.77402,0.77403,0.77403,0.77404,0.77404,0.77403,0.77410,0.77410,0.77412,0.77410,0.77405,0.77403,0.77406,0.77406,0.77404,0.77405,0.77403,0.77408,0.77414,0.77413,0.77409,0.77406,0.77405,0.77402,0.77405,0.77404,0.77400,0.77401,0.77406,0.77412,0.77411,0.77412,0.77416,0.77415,0.77416,0.77412,0.77414,0.77417,0.77418,0.77417,0.77419,0.77420,0.77415,0.77413,0.77413,0.77415,0.77420,0.77420,0.77419,0.77422,0.77419,0.77419
2.16000,1.00000,0.79903,0.73909,0.71511,0.70329,0.69667,0.69265,0.69007,0.68826,0.68697,0.68602,0.68536,0.68479,0.68439,0.68403,0.68375,0.68350,0.68326,0.68308,0.68294,0.68280,0.68278,0.68278,0.68288,0.68291,0.68296,0.68299,0.68305,0.68311,0.68312,0.68310,0.68315,0.68317,0.68308,0.68299,0.68289,0.68283,0.68283,0.68288,0.68288,0.68290,0.68301,0.68310,0.68306,0.68305,0.68307,0.68305,0.68303,0.68302,0.68303,0.68302,0.68290,0.68285,0.68290,0.68298,0.68296,0.68296,0.68293,0.68290,0.68284,0.68277,0.68277,0.68284,0.68286,0.68285,0.68283,0.68274,0.68269,0.68272,0.68271,0.68272,0.68274,0.68276,0.68270,0.68272,0.68273
2.23000,1.00000,0.75139,0.66709,0.62850,0.60678,0.59308,0.58384,0.57717,0.57225,0.56859,0.56576,0.56357,0.56190,0.56062,0.55964,0.55889,0.55828,0.55779,0.55737,0.55701,0.55678,0.55660,0.55653,0.55644,0.55626,0.55602,0.55586,0.55570,0.55559,0.55550,0.55550,0.55552,0.55546,0.55535,0.55522,0.55514,0.55506,0.55504,0.55507,0.55511,0.55509,0.55510,0.55518,0.55518,0.55506,0.55505,0.55502,0.55502,0.55504,0.55505,0.55512,0.55512,0.55507,0.55498,0.55495,0.55490,0.55482,0.55474,0.55465,0.55449,0.55434,0.55417,0.55400,0.55388,0.55383,0.55384,0.55373,0.55378,0.55383,0.55383,0.55382,0.55376,0.55363,0.55362,0.55366,0.55373
2.00000,1.00000,0.87288,0.84423,0.83585,0.83287,0.83160,0.83101,0.83074,0.83061,0.83052,0.83051,0.83054,0.83057,0.83054,0.83050,0.83049,0.83049,0.83049,0.83045,0.83045,0.83043,0.83042,0.83042,0.83042,0.83045,0.83046,0.83045,0.83043,0.83039,0.83038,0.83040,0.83041,0.83042,0.83042,0.83044,0.83043,0.83043,0.83046,0.83047,0.83047,0.83045,0.83043,0.83042,0.83042,0.83044,0.83045,0.83046,0.83046,0.83044,0.83047,0.83043,0.83043,0.83045,0.83046,0.83046,0.83045,0.83043,0.83045,0.83046,0.83045,0.83044,0.83047,0.83044,0.83043,0.83043,0.83044,0.83046,0.83048,0.83048,0.83047,0.83044,0.83043,0.83044,0.83044,0.83045,0.83047
2.09000,1.00000,0.83553,0.79222,0.77713,0.77075,0.76769,0.76611,0.76521,0.76473,0.76447,0.76427,0.76416,0.76410,0.76409,0.76409,0.76405,0.76408,0.76411,0.76409,0.76410,0.76409,0.76408,0.76403,0.76399,0.76400,0.76404,0.76411,0.76415,0.76415,0.76409,0.76409,0.76414,0.76413,0.76411,0.76415,0.76415,0.76416,0.76414,0.76419,0.76418,0.76416,0.76412,0.76411,0.76410,0.76411,0.76411,0.76411,0.76411,0.76412,0.76422,0.76423,0.76425,0.76423,0.76423,0.76421,0.76423,0.76423,0.76425,0.76428,0.76431,0.76425,0.76424,0.76419,0.76414,0.76411,0.76411,0.76410,0.76401,0.76400,0.76403,0.76405,0.76409,0.76415,0.76418,0.76417,0.76416
2.17000,1.00000,0.79367,0.73120,0.70591,0.69339,0.68636,0.68211,0.67946,0.67770,0.67650,0.67579,0.67540,0.67511,0.67491,0.67483,0.67479,0.67478,0.67479,0.67479,0.67475,0.67463,0.67461,0.67462,0.67456,0.67458,0.67463,0.67467,0.67477,0.67488,0.67492,0.67500,0.67493,0.67492,0.67487,0.67483,0.67476,0.67471,0.67468,0.67460,0.67449,0.67446,0.67439,0.67436,0.67438,0.67440,0.67441,0.67445,0.67444,0.67440,0.67443,0.67446,0.67456,0.67462,0.67463,0.67464,0.67463,0.67462,0.67460,0.67459,0.67453,0.67454,0.67450,0.67449,0.67448,0.67447,0.67447,0.67444,0.67435,0.67434,0.67433,0.67430,0.67430,0.67430,0.67434,0.67438,0.67437
