T,E,M,M_abs,Cv,Chim,Chim_abs
2.07000,-38558.8010786961,0.8829283528,0.8829283528,21102.2860304628,18034.9239151259,18034.9239151259
2.15000,-36816.5290338790,0.8388712630,0.8388712630,24778.5990482927,31464.3228187949,31464.3228187949
2.22000,-34772.7833934076,0.7661996395,0.7661996395,34686.1560881094,105387.6060608271,105387.6060608271
1.99000,-39984.0016825890,0.9145427464,0.9145427464,15934.8957621869,7901.6882363576,7901.6882363576
2.08000,-38390.4854100819,0.8798474788,0.8798474788,20011.8337197439,17063.1119693128,17063.1119693128
2.16000,-36509.2085075003,0.8263752480,0.8263752480,26473.3932882711,51879.4619243454,51879.4619243454
2.23000,-34364.1414153780,0.7450586019,0.7450586019,35106.2254497797,117834.3775893273,117834.3775893273
2.00000,-39830.6746854833,0.9112809880,0.9112809880,15815.0348317027,8482.7594665587,8482.7594665587
2.09000,-38150.2373136390,0.8741257015,0.8741257015,18288.0002750216,15021.1964024026,15021.1964024026
2.17000,-36267.7673526837,0.8213360864,0.8213360864,27426.6198001975,44383.1846081167,44383.1846081167
2.24000,-34047.1298141783,0.7307358008,0.7307358008,45694.1457318465,213303.1082548467,213303.1082548467
2.01000,-39675.3424476506,0.9080791542,0.9080791542,15298.8865200781,9023.3347639219,9023.3347639219
2.10000,-37977.4460953234,0.8695865238,0.8695865238,20278.2172431751,17710.3306116377,17710.3306116377
2.25000,-32396.3883820030,0.0372507685,0.0496441605,36207.5600747002,457585.2976073804,215277.6418519861
2.18000,-35930.8470079268,0.8046663545,0.8046663545,30708.9793513032,72605.1903504844,72605.1903504844
2.02000,-39508.9025478638,0.9052577058,0.9052577058,16738.5616204094,9146.1123419280,9146.1123419280
2.26000,-32952.8710588965,0.6442728775,0.6442728775,36961.5008553937,328025.8900644637,328025.8900644637
2.11000,-37730.1534241612,0.8635580392,0.8635580392,23352.6905474456,21171.9420350841,21171.9420350841
2.19000,-35626.5985913474,0.7941780879,0.7941780879,25481.8215973371,54248.9018497402,54248.9018497402
2.03000,-39320.5311838270,0.9010096275,0.9010096275,17139.9300528694,9995.2427043410,9995.2427043410
2.27000,-32007.7747132087,0.4724189879,0.4724189879,36187.9939158849,506349.0854195299,506349.0854195299
2.12000,-37505.6228063991,0.8568950394,0.8568950394,23178.9836906568,26407.3873663005,26407.3873663005
2.20000,-35421.1798106174,0.7896735964,0.7896735964,30152.8400262033,78921.1433624408,78921.1433624408
2.04000,-39155.4149078275,0.8975057529,0.8975057529,17463.6755786300,10331.5167216401,10331.5167216401
2.28000,-31581.4492275345,0.3506619447,0.3506619447,45729.5357792762,5399955.4922810812,5399955.4922810812
2.21000,-35098.0549695111,0.7803834122,0.7803834122,36155.0356950219,97887.8179565274,97887.8179565274
2.13000,-37218.3872303964,0.8424858923,0.8424858923,26045.3380605401,76894.6729360892,76894.6729360892
2.05000,-37853.7195743122,0.1659311710,0.1659311710,19482.1522029648,221323.5449078316,221323.5449078316
2.14000,-36993.7976839055,0.8425496907,0.8425496907,25645.1477226872,32427.2666158520,32427.2666158520
2.06000,-38772.6252489473,0.8891843629,0.8891843629,18810.3766202118,13419.6154054797,13419.6154054797
