Tiempo inicial 2016-12-05T05:41:41.416 
L=150 - Mc=50000
1060.0396
1062.4505
1062.7639
1077.0178
1063.0192
1065.3558
1067.6461
1081.6405
1062.9958
1065.9248
1068.6961
1074.1952
1065.3202
1057.6143
1069.3171
1068.5245
1057.7704
1071.9371
1074.0463
1072.2256
1069.0132
1087.2101
1087.5134
1084.4740
1066.1741
1062.9892
1079.0999
1059.1464
717.8959
709.8296
Tiempo final 2016-12-05T07:58:48.167 
