T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1.02000,1.00000,0.99831,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99827,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0.99827
2.92000,1.00000,0.42573,0.21141,0.11496,0.06578,0.03887,0.02348,0.01397,0.00818,0.00444,0.00247,0.00149,0.00088,0.00057,0.00023,-0.00000,-0.00021,-0.00026,0.00009,0.00042,0.00061,0.00073,0.00101,0.00122,0.00118,0.00134,0.00134,0.00140,0.00141,0.00103,0.00049,0.00025,0.00025,0.00031,0.00045,0.00018,0.00005,0.00013,0.00022,0.00026,0.00038,0.00026,-0.00014,-0.00042,-0.00074,-0.00102,-0.00133,-0.00126,-0.00119,-0.00156,-0.00180
2.29000,1.00000,0.67821,0.54699,0.47402,0.42458,0.38733,0.35749,0.33257,0.31106,0.29218,0.27527,0.25986,0.24590,0.23310,0.22113,0.21001,0.19953,0.18964,0.18009,0.17092,0.16212,0.15377,0.14593,0.13855,0.13169,0.12557,0.12010,0.11499,0.11012,0.10551,0.10153,0.09788,0.09454,0.09145,0.08844,0.08570,0.08309,0.08061,0.07828,0.07622,0.07421,0.07251,0.07120,0.07016,0.06929,0.06853,0.06796,0.06762,0.06771,0.06768,0.06769
1.66000,1.00000,0.95574,0.95040,0.94962,0.94946,0.94946,0.94945,0.94946,0.94945,0.94945,0.94946,0.94946,0.94947,0.94946,0.94946,0.94947,0.94947,0.94945,0.94946,0.94946,0.94946,0.94945,0.94946,0.94947,0.94947,0.94947,0.94947,0.94946,0.94946,0.94947,0.94946,0.94947,0.94946,0.94947,0.94946,0.94946,0.94945,0.94947,0.94947,0.94946,0.94947,0.94946,0.94947,0.94945,0.94947,0.94947,0.94947,0.94946,0.94947,0.94945,0.94946
1.03000,1.00000,0.99824,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820,0.99820
2.93000,1.00000,0.42297,0.20800,0.11156,0.06267,0.03638,0.02149,0.01288,0.00789,0.00481,0.00296,0.00172,0.00073,0.00032,0.00016,0.00027,0.00033,0.00028,0.00014,-0.00032,-0.00060,-0.00064,-0.00034,0.00004,0.00014,-0.00013,-0.00020,-0.00029,-0.00042,-0.00054,-0.00071,-0.00062,-0.00046,-0.00045,-0.00036,-0.00052,-0.00044,-0.00061,-0.00062,-0.00040,-0.00026,-0.00012,0.00009,0.00031,0.00029,0.00035,0.00034,0.00025,-0.00015,-0.00033,-0.00017
2.30000,1.00000,0.66927,0.53268,0.45612,0.40393,0.36459,0.33302,0.30668,0.28394,0.26403,0.24603,0.22976,0.21500,0.20170,0.18971,0.17879,0.16884,0.15986,0.15150,0.14374,0.13675,0.13030,0.12471,0.11997,0.11585,0.11192,0.10814,0.10450,0.10100,0.09756,0.09444,0.09150,0.08880,0.08617,0.08391,0.08174,0.07976,0.07800,0.07665,0.07553,0.07445,0.07339,0.07238,0.07154,0.07083,0.07015,0.06949,0.06904,0.06848,0.06815,0.06818
1.67000,1.00000,0.95395,0.94821,0.94736,0.94723,0.94720,0.94718,0.94719,0.94718,0.94719,0.94719,0.94719,0.94719,0.94719,0.94720,0.94719,0.94720,0.94721,0.94719,0.94717,0.94716,0.94718,0.94718,0.94719,0.94719,0.94720,0.94720,0.94721,0.94720,0.94719,0.94720,0.94721,0.94721,0.94721,0.94719,0.94720,0.94720,0.94721,0.94720,0.94718,0.94721,0.94722,0.94721,0.94721,0.94720,0.94721,0.94721,0.94720,0.94719,0.94720,0.94719
1.04000,1.00000,0.97222,0.94770,0.92413,0.90118,0.87868,0.85650,0.83456,0.81280,0.79119,0.76970,0.74829,0.72696,0.70571,0.68452,0.66338,0.64230,0.62130,0.60037,0.57950,0.55869,0.53792,0.51718,0.49648,0.47582,0.45520,0.43463,0.41410,0.39359,0.37312,0.35267,0.33227,0.31196,0.29190,0.27236,0.25381,0.23678,0.22183,0.20926,0.19924,0.19174,0.18647,0.18294,0.18071,0.17940,0.17865,0.17824,0.17806,0.17796,0.17793,0.17791
2.94000,1.00000,0.42134,0.20633,0.11052,0.06219,0.03577,0.02071,0.01199,0.00692,0.00380,0.00186,0.00048,-0.00020,-0.00032,-0.00037,-0.00030,-0.00012,-0.00007,0.00002,0.00030,0.00048,0.00045,0.00046,0.00032,0.00053,0.00070,0.00083,0.00079,0.00081,0.00056,0.00063,0.00059,0.00038,0.00042,0.00062,0.00042,0.00030,0.00041,0.00034,0.00039,0.00045,0.00044,0.00036,0.00014,-0.00015,-0.00044,-0.00054,-0.00074,-0.00055,-0.00059,-0.00062
