T,E,M,M_abs,Cv,Chim,Chim_abs
2.89000,-8600.8581553712,0.0064688439,0.0287807123,4673.7455799379,42923.8515032961,15709.8910677535
2.26000,-14313.1759696448,0.6406599305,0.6406599305,17497.1426761774,170134.7539723546,170134.7539723546
1.63000,-19158.6270235161,0.9769792749,0.9769792749,2917.9746423596,511.8910077799,511.8910077799
1.00000,-19931.8202757015,0.9992810052,0.9992810052,229.2820056081,15.3601087779,15.3601087779
2.90000,-8566.3857251404,0.0006795977,0.0302736218,4334.7962374530,48385.1436522849,16797.8910212497
2.27000,-14081.9504436983,0.5591948617,0.5591948617,16953.9087980887,247201.7211678696,247201.7211678696
1.64000,-19133.3149333859,0.9762336976,0.9762336976,2983.5265241940,530.2997968727,530.2997968727
1.01000,-19419.8995189349,0.1268771817,0.1268771817,470.6188510205,130999.2127459685,130999.2127459685
2.91000,-8514.6687237760,0.0006805480,0.0303351418,4400.6033449778,48970.2867936661,17363.4935675051
2.28000,-13978.8082371345,0.5706707495,0.5706707495,22425.3817486140,329591.7908486224,329591.7908486224
1.65000,-19102.8712248933,0.9753122573,0.9753122573,2952.6471467058,516.3039147944,516.3039147944
1.02000,-19926.2816240681,0.9991385202,0.9991385202,258.4654382104,17.8007185897,17.8007185897
2.92000,-8473.3748406312,0.0038456234,0.0290687987,4649.1730204899,45502.5315337551,17070.8109887962
2.29000,-13524.0728176422,0.3036095645,0.3036095645,15749.5677298852,530122.8271191932,530122.8271191932
1.66000,-19074.6283534496,0.9743982675,0.9743982675,3068.3990738478,580.9396095394,580.9396095394
1.03000,-19924.9132742557,0.9991032752,0.9991032752,283.5318951526,19.7165639221,19.7165639221
2.93000,-8418.4454363723,0.0060053426,0.0296483319,4751.6726062527,46069.6394075233,17299.6924683038
2.30000,-13346.4577870711,0.2391783497,0.2489732676,14230.7933128793,1131796.9250758791,923909.7504562108
1.67000,-19038.9438536776,0.9732400986,0.9732400986,3067.8501872771,567.4545886809,567.4545886809
1.04000,-19404.2692481562,0.2291276471,0.2291276471,518.5839338724,68821.8540120950,68821.8540120950
2.94000,-8386.9464459781,0.0000811741,0.0281840469,4374.3879632785,43625.9531778260,16607.7929894224
2.31000,-13201.7329965445,0.3039126389,0.3047984340,12848.0681434358,428241.3100417888,404899.6082067578
1.68000,-19005.9709956578,0.9721436006,0.9721436006,3277.9220868823,634.6777956135,634.6777956135
1.05000,-19918.1268716598,0.9989256654,0.9989256654,312.7355649628,22.5799378327,22.5799378327
2.95000,-8325.6570279837,0.0019363063,0.0339624388,4155.8118567303,59160.9211775853,20188.1086444428
2.32000,-13150.2239769566,0.3407167525,0.3407167525,13807.1568321279,548113.6694792265,548113.6694792265
1.69000,-18971.6844560341,0.9709875376,0.9709875376,3341.2883752184,681.6317025374,681.6317025374
1.06000,-19913.9491565401,0.9988194369,0.9988194369,351.2997725821,25.6064038091,25.6064038091
2.96000,-8312.5465803040,0.0003811059,0.0280880850,3993.5985415983,42050.8640392568,15402.3748669058
2.33000,-12809.0365822531,0.0237309146,0.0994774468,12809.3688602826,598861.8115527831,198320.7764210780
1.70000,-18938.8335001576,0.9698799018,0.9698799018,3503.9621015527,714.4098118474,714.4098118474
1.07000,-19911.1457906828,0.9987465472,0.9987465472,376.0860522602,27.6512424105,27.6512424105
2.97000,-8259.4379942799,0.0049614105,0.0265045517,4186.0459464202,36321.7120259932,13497.6155277986
2.34000,-12790.9558585856,0.1912662513,0.2409476799,14742.1872575538,1511575.1197478741,593925.3099205275
1.71000,-18919.7858521186,0.9693996616,0.9693996616,3475.3162593189,710.3809777495,710.3809777495
1.08000,-19907.0953406357,0.9986403359,0.9986403359,395.1164764264,29.3099781981,29.3099781981
2.98000,-8215.6731444907,0.0026879423,0.0295424733,3883.6239717294,44267.2151445300,15222.4938212796
2.35000,-12540.0019853479,0.0059885721,0.0750643131,11634.8173798075,326971.0324869739,88724.7303023776
1.72000,-18871.1321700386,0.9677516817,0.9677516817,3471.7043403993,730.6608150172,730.6608150172
1.09000,-19902.9250533032,0.9985306249,0.9985306249,409.0893387483,31.2180727173,31.2180727173
2.99000,-8162.1681631457,0.0067558888,0.0275648785,4127.3775871349,38922.6032026231,15036.9680011843
2.36000,-12432.1662225531,0.1430559022,0.1563788811,13521.8891095722,596346.0992616429,427305.2822310632
1.73000,-18835.3105657727,0.9664796216,0.9664796216,3717.6599761144,820.3952811271,820.3952811271
1.10000,-19899.4285592032,0.9984386104,0.9984386104,433.2492453500,33.4917180647,33.4917180647
3.00000,-8137.1804647181,0.0028645376,0.0268538992,3845.2340256563,36426.1344173830,12661.9234878998
2.37000,-12295.6635156496,0.0686028954,0.0939262669,11475.7138928992,362360.4787492579,188698.6071121602
