Tiempo inicial 2016-12-05T03:26:05.291 
L=150 - Mc=50000
1057.1875
1058.7158
1061.2047
1068.2177
1059.5703
1058.1275
1064.3260
1067.1377
1059.8269
1063.7510
1062.1483
1068.7178
1057.3919
1059.7563
1059.6418
1068.3074
1059.4915
1058.1262
1061.8302
1067.4036
1061.4660
1059.0556
1061.2212
1069.7373
1058.5317
1061.1602
1058.2991
1052.7192
675.1623
674.1721
Tiempo final 2016-12-05T05:41:41.415 
