T,E,M,M_abs,Cv,Chim,Chim_abs
1.44000,-43482.8040262128,0.2121672628,0.2121672628,3893.1628268350,251805.4468097502,251805.4468097502
1.59000,-43699.9127882719,0.9803925052,0.9803925052,6251.5392572620,1019.6610141850,1019.6610141850
1.52000,-43113.0880940085,0.3478068021,0.3478068021,5377.4137701065,303497.4232892457,303497.4232892457
1.36000,-44658.1065791953,0.9928804644,0.9928804644,2845.9310122994,317.2753373490,317.2753373490
1.45000,-44368.5200114535,0.9892426107,0.9892426107,3645.4773262196,460.6947756636,460.6947756636
1.60000,-43641.9499918428,0.9796396481,0.9796396481,6086.5778871812,1014.5930606127,1014.5930606127
1.53000,-43070.5817959330,0.0613380476,0.0613380476,5348.9536486206,62827.9702831452,62827.9702831452
1.37000,-43738.4590847049,0.1409183714,0.1409183714,3319.2535852661,374842.6949144484,374842.6949144484
1.46000,-44323.1981434472,0.9886578622,0.9886578622,3847.9187170232,495.3936705851,495.3936705851
1.61000,-43587.0297438803,0.9789063836,0.9789063836,6410.7936831574,1056.2378228821,1056.2378228821
1.54000,-43967.6794107677,0.9840156165,0.9840156165,4807.3076502150,713.0569217654,713.0569217654
1.38000,-44601.4088077977,0.9921772967,0.9921772967,3160.2001245271,361.3902681548,361.3902681548
1.47000,-44279.8866181822,0.9881017320,0.9881017320,4053.0152000675,524.8899865718,524.8899865718
1.62000,-42551.1326062710,0.1649509613,0.1649509613,6669.9111943128,206247.1431908128,206247.1431908128
1.55000,-42968.2685630866,0.4508178235,0.4508178235,5781.4099982675,274191.0544960345,274191.0544960345
1.39000,-44568.8043283094,0.9917743891,0.9917743891,3088.1767868718,356.3717850249,356.3717850249
1.48000,-44243.4067233520,0.9876372569,0.9876372569,4295.5350361008,572.0023562779,572.0023562779
1.63000,-43450.6113163368,0.9769739007,0.9769739007,6447.5685557934,1144.7943349557,1144.7943349557
1.56000,-43863.8594078675,0.9826115107,0.9826115107,5045.4114449016,771.6074322279,771.6074322279
1.40000,-44532.6814365390,0.9913274325,0.9913274325,3215.7516704530,378.4381112882,378.4381112882
1.49000,-44196.7881749989,0.9870041492,0.9870041492,4425.1402692373,623.1689628339,623.1689628339
1.64000,-43395.4396146109,0.9762196819,0.9762196819,6527.9325393429,1166.3196310401,1166.3196310401
1.57000,-43812.0670963364,0.9819650404,0.9819650404,5249.1713761848,818.1503303112,818.1503303112
1.41000,-44507.4201655706,0.9910034338,0.9910034338,3348.6845834977,402.7121792871,402.7121792871
1.50000,-43220.8477683733,0.4460574457,0.4460574457,4916.7777566910,84287.7180229723,84287.7180229723
1.65000,-43321.5847542753,0.9752008062,0.9752008062,6394.7481476790,1147.9548242959,1147.9548242959
1.58000,-42798.2098958196,0.5307370967,0.5307370967,5542.1140309118,82718.0894431623,82718.0894431623
1.42000,-44470.8670682104,0.9905443631,0.9905443631,3525.0979219725,418.1928856692,418.1928856692
1.51000,-44107.1369426548,0.9858652015,0.9858652015,4527.4154013026,627.9996264455,627.9996264455
1.43000,-43524.3821097144,0.1828281388,0.1828281388,3959.2327253819,90889.2500486069,90889.2500486069
