T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1.44000,1.00000,0.96060,0.94121,0.92438,0.90834,0.89274,0.87743,0.86233,0.84738,0.83259,0.81793,0.80338,0.78892,0.77454,0.76023,0.74600,0.73183,0.71773,0.70370,0.68974,0.67583,0.66199,0.64818,0.63441,0.62069,0.60701,0.59333,0.57967,0.56604,0.55242,0.53882,0.52522,0.51162,0.49802,0.48442,0.47084,0.45726,0.44371,0.43017,0.41664,0.40314,0.38964,0.37617,0.36272,0.34930,0.33592,0.32258,0.30932,0.29615,0.28311,0.27023,0.25759,0.24525,0.23335,0.22203,0.21146,0.20176,0.19298,0.18517,0.17837,0.17259,0.16780,0.16392,0.16081,0.15833,0.15636,0.15482,0.15365,0.15277,0.15214,0.15172,0.15142,0.15123,0.15113,0.15107,0.15106
1.59000,1.00000,0.96543,0.96173,0.96126,0.96119,0.96117,0.96117,0.96117,0.96118,0.96118,0.96118,0.96117,0.96117,0.96117,0.96117,0.96117,0.96117,0.96117,0.96118,0.96118,0.96118,0.96118,0.96118,0.96118,0.96117,0.96117,0.96117,0.96117,0.96117,0.96117,0.96117,0.96117,0.96118,0.96118,0.96118,0.96118,0.96117,0.96117,0.96116,0.96117,0.96117,0.96117,0.96117,0.96118,0.96117,0.96117,0.96118,0.96118,0.96118,0.96118,0.96118,0.96117,0.96117,0.96117,0.96117,0.96118,0.96117,0.96117,0.96117,0.96118,0.96118,0.96118,0.96117,0.96117,0.96118,0.96117,0.96118,0.96117,0.96118,0.96118,0.96118,0.96117,0.96117,0.96117,0.96117,0.96117
1.52000,1.00000,0.95238,0.93164,0.91445,0.89821,0.88243,0.86698,0.85176,0.83672,0.82184,0.80710,0.79249,0.77799,0.76359,0.74925,0.73500,0.72080,0.70665,0.69255,0.67849,0.66447,0.65049,0.63654,0.62263,0.60874,0.59491,0.58111,0.56733,0.55359,0.53988,0.52617,0.51248,0.49878,0.48510,0.47141,0.45773,0.44405,0.43041,0.41684,0.40337,0.39001,0.37688,0.36409,0.35175,0.34003,0.32911,0.31914,0.31017,0.30222,0.29531,0.28943,0.28452,0.28055,0.27740,0.27491,0.27297,0.27150,0.27036,0.26949,0.26881,0.26826,0.26778,0.26736,0.26697,0.26659,0.26621,0.26587,0.26556,0.26527,0.26503,0.26481,0.26463,0.26448,0.26436,0.26430,0.26426
1.36000,1.00000,0.98671,0.98588,0.98582,0.98581,0.98582,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98582,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581,0.98581
1.45000,1.00000,0.98028,0.97875,0.97862,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97862,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861,0.97861
1.60000,1.00000,0.96413,0.96028,0.95979,0.95971,0.95970,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95970,0.95969,0.95969,0.95969,0.95970,0.95969,0.95969,0.95969,0.95970,0.95970,0.95970,0.95969,0.95969,0.95970,0.95969,0.95970,0.95969,0.95970,0.95969,0.95970,0.95970,0.95970,0.95969,0.95970,0.95969,0.95970,0.95970,0.95970,0.95970,0.95971,0.95971,0.95970,0.95970,0.95969,0.95970,0.95970,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95969,0.95970,0.95970,0.95969,0.95970,0.95969,0.95969,0.95970,0.95969,0.95969,0.95970,0.95970,0.95971,0.95970,0.95970,0.95970,0.95970,0.95969,0.95970
1.53000,1.00000,0.95143,0.93055,0.91335,0.89713,0.88136,0.86591,0.85066,0.83559,0.82066,0.80585,0.79113,0.77651,0.76198,0.74754,0.73317,0.71886,0.70462,0.69042,0.67629,0.66222,0.64821,0.63424,0.62031,0.60641,0.59254,0.57874,0.56495,0.55118,0.53742,0.52370,0.50997,0.49628,0.48259,0.46893,0.45527,0.44163,0.42799,0.41438,0.40078,0.38720,0.37362,0.36007,0.34651,0.33295,0.31937,0.30582,0.29226,0.27870,0.26516,0.25161,0.23806,0.22453,0.21103,0.19753,0.18407,0.17065,0.15732,0.14416,0.13118,0.11849,0.10617,0.09434,0.08308,0.07244,0.06249,0.05331,0.04493,0.03739,0.03073,0.02496,0.02016,0.01637,0.01363,0.01199,0.01144
1.37000,1.00000,0.96628,0.94769,0.93105,0.91508,0.89954,0.88428,0.86923,0.85433,0.83956,0.82489,0.81030,0.79579,0.78135,0.76697,0.75263,0.73836,0.72410,0.70989,0.69572,0.68158,0.66749,0.65343,0.63941,0.62544,0.61150,0.59759,0.58370,0.56985,0.55602,0.54224,0.52849,0.51474,0.50104,0.48737,0.47374,0.46013,0.44656,0.43301,0.41947,0.40595,0.39246,0.37898,0.36552,0.35205,0.33861,0.32518,0.31177,0.29842,0.28509,0.27183,0.25866,0.24561,0.23269,0.21989,0.20724,0.19477,0.18253,0.17060,0.15911,0.14824,0.13809,0.12877,0.12031,0.11275,0.10612,0.10043,0.09566,0.09181,0.08880,0.08653,0.08488,0.08373,0.08300,0.08259,0.08246
1.46000,1.00000,0.97927,0.97762,0.97746,0.97745,0.97745,0.97745,0.97744,0.97744,0.97744,0.97744,0.97744,0.97744,0.97744,0.97745,0.97744,0.97744,0.97744,0.97745,0.97745,0.97745,0.97744,0.97744,0.97745,0.97745,0.97745,0.97745,0.97744,0.97745,0.97744,0.97744,0.97745,0.97745,0.97744,0.97744,0.97744,0.97744,0.97744,0.97744,0.97745,0.97744,0.97744,0.97744,0.97745,0.97745,0.97745,0.97745,0.97745,0.97745,0.97745,0.97744,0.97744,0.97745,0.97745,0.97745,0.97744,0.97744,0.97744,0.97744,0.97744,0.97744,0.97745,0.97745,0.97745,0.97745,0.97744,0.97744,0.97744,0.97744,0.97744,0.97744,0.97745,0.97744,0.97744,0.97745,0.97744
1.61000,1.00000,0.96291,0.95887,0.95835,0.95826,0.95826,0.95826,0.95825,0.95826,0.95826,0.95825,0.95826,0.95824,0.95825,0.95826,0.95826,0.95826,0.95825,0.95825,0.95825,0.95826,0.95826,0.95826,0.95825,0.95825,0.95825,0.95825,0.95825,0.95826,0.95825,0.95826,0.95826,0.95825,0.95825,0.95825,0.95825,0.95825,0.95826,0.95825,0.95826,0.95826,0.95826,0.95826,0.95825,0.95826,0.95826,0.95826,0.95826,0.95825,0.95825,0.95825,0.95825,0.95826,0.95826,0.95826,0.95826,0.95826,0.95825,0.95825,0.95825,0.95825,0.95825,0.95825,0.95825,0.95825,0.95825,0.95827,0.95826,0.95826,0.95825,0.95825,0.95826,0.95825,0.95825,0.95825,0.95825
