T,0,1,2,3,4,5
2.98000,1.00000,0.42054,0.21236,0.12299,0.08479,0.07440
2.14000,1.00000,0.81020,0.75586,0.73531,0.72604,0.72383
1.31000,1.00000,0.99015,0.98969,0.98967,0.98968,0.98966
2.99000,1.00000,0.40991,0.19701,0.10568,0.06946,0.05993
2.15000,1.00000,0.79820,0.73815,0.71500,0.70544,0.70288
3.00000,1.00000,0.41273,0.20262,0.11495,0.07740,0.06503
1.32000,1.00000,0.98906,0.98818,0.98808,0.98805,0.98806
2.16000,1.00000,0.80046,0.74217,0.72036,0.71057,0.70727
3.01000,1.00000,0.41261,0.20331,0.11858,0.08537,0.07558
1.33000,1.00000,0.98916,0.98862,0.98864,0.98861,0.98860
2.17000,1.00000,0.78243,0.71350,0.68485,0.67038,0.66622
3.02000,1.00000,0.40550,0.19223,0.10647,0.06889,0.05748
1.34000,1.00000,0.98664,0.98562,0.98550,0.98545,0.98544
2.18000,1.00000,0.79168,0.72864,0.70397,0.69383,0.69123
3.03000,1.00000,0.40708,0.19654,0.10734,0.07025,0.06142
1.35000,1.00000,0.98684,0.98602,0.98596,0.98597,0.98594
2.19000,1.00000,0.77398,0.70014,0.66792,0.65250,0.64748
3.04000,1.00000,0.39400,0.17676,0.08331,0.04367,0.03237
1.36000,1.00000,0.98682,0.98616,0.98610,0.98610,0.98606
2.20000,1.00000,0.77882,0.70985,0.68041,0.66805,0.66414
3.05000,1.00000,0.40348,0.19135,0.10354,0.06374,0.05286
1.37000,1.00000,0.98519,0.98421,0.98415,0.98418,0.98421
2.21000,1.00000,0.76628,0.69191,0.66358,0.65157,0.64952
3.06000,1.00000,0.40338,0.19365,0.11036,0.07388,0.06169
1.38000,1.00000,0.98480,0.98354,0.98340,0.98338,0.98346
2.22000,1.00000,0.75558,0.67414,0.64018,0.62506,0.62022
3.07000,1.00000,0.38840,0.17546,0.08986,0.05572,0.04625
1.39000,1.00000,0.98454,0.98346,0.98338,0.98338,0.98341
2.23000,1.00000,0.74482,0.65887,0.62225,0.60645,0.60098
3.08000,1.00000,0.40217,0.19472,0.11140,0.07514,0.06390
1.40000,1.00000,0.98405,0.98312,0.98305,0.98306,0.98311
2.24000,1.00000,0.76312,0.68995,0.66095,0.64915,0.64568
3.09000,1.00000,0.39640,0.18552,0.09951,0.06404,0.05717
1.41000,1.00000,0.98418,0.98322,0.98310,0.98308,0.98303
2.25000,1.00000,0.73893,0.65172,0.61348,0.59692,0.59127
3.10000,1.00000,0.38732,0.17290,0.08922,0.05483,0.04622
1.42000,1.00000,0.98387,0.98294,0.98286,0.98294,0.98289
2.26000,1.00000,0.73438,0.64624,0.61037,0.59491,0.59016
3.11000,1.00000,0.38383,0.17055,0.08586,0.04896,0.04032
1.43000,1.00000,0.98016,0.97865,0.97852,0.97854,0.97847
2.27000,1.00000,0.72831,0.63472,0.59298,0.57386,0.56886
3.12000,1.00000,0.38675,0.17379,0.09007,0.05634,0.04653
1.44000,1.00000,0.98167,0.98045,0.98040,0.98040,0.98045
