T,E,M,M_abs,Cv,Chim,Chim_abs
1.84000,-199.5730960002,0.9480776400,0.9480776400,49.5244402561,14.0145072147,14.0145072147
2.68000,-118.3672160000,0.0552016400,0.4121856400,87.2184807860,851.3046945570,228.7308857381
1.01000,-215.7166479987,0.9992842400,0.9992842400,2.2687031119,0.1484958226,0.1484958226
1.85000,-200.6264160001,0.9532730400,0.9532730400,43.9134582809,10.4787502960,10.4787502960
2.69000,-117.0944480000,0.1283936400,0.4107767600,78.7663199189,782.1588595079,216.1639904982
1.02000,-215.6455359987,0.9991010400,0.9991010400,2.8769739133,0.1919672682,0.1919672682
1.86000,-198.9413040002,0.9468670000,0.9468670000,52.5562801281,14.2030296089,14.2030296089
2.70000,-115.9957040000,0.0116360000,0.3838335200,74.1659585094,752.8923744595,207.7339500908
1.03000,-215.6650799987,0.9991335200,0.9991335200,2.7385549903,0.2006175032,0.2006175032
1.87000,-197.4613520003,0.9395935200,0.9395935200,53.8246887959,17.9425602674,17.9425602674
2.71000,-113.3438160000,0.0277174800,0.3663028400,69.4852519098,684.0471487175,191.7611269664
1.88000,-197.4923920002,0.9415406800,0.9415406800,51.2043453132,13.9634037289,13.9634037289
1.04000,-215.6446959987,0.9990922800,0.9990922800,2.6885202147,0.1895003351,0.1895003351
2.72000,-116.1815200000,0.0151144000,0.4099000000,74.2837038388,824.7588224732,207.8854220593
1.89000,-198.2721200002,0.9445992800,0.9445992800,49.4765988260,13.5378805289,13.5378805289
1.05000,-215.5224879987,0.9987542400,0.9987542400,3.8786455048,0.3091664069,0.3091664069
2.73000,-115.3604320000,0.0549228000,0.4056729600,77.8846882109,798.1320074733,206.3589799448
1.90000,-196.7590960002,0.9325079600,0.9325079600,64.4805133594,39.1376912275,39.1376912275
1.06000,-215.5247199988,0.9987680800,0.9987680800,3.6533688933,0.2756147546,0.2756147546
2.74000,-114.0924320000,0.0532048400,0.3782350000,70.8221471995,703.0540766449,191.2622510044
1.91000,-195.6339280002,0.9347520800,0.9347520800,55.1109035487,16.5035315829,16.5035315829
1.07000,-215.5351279987,0.9988006000,0.9988006000,3.3825053690,0.2504731791,0.2504731791
2.75000,-110.4209680000,0.0092595200,0.3496287200,64.2018890490,613.3013545071,169.1031612773
1.08000,-215.4777359987,0.9986842800,0.9986842800,3.7660156813,0.2604821399,0.2604821399
1.92000,-197.2550880002,0.9407153200,0.9407153200,49.8005344099,13.6469224668,13.6469224668
2.76000,-111.6688720000,0.0991328000,0.3568816000,66.2270639362,619.8215650876,193.9622738458
1.09000,-215.4332959987,0.9985412400,0.9985412400,3.9090034080,0.2939964164,0.2939964164
1.93000,-195.7978240003,0.9357125600,0.9357125600,52.9390138736,15.9222976934,15.9222976934
2.77000,-110.1787840000,0.0258845200,0.3401243600,62.9206485520,596.7089401600,181.4938791859
1.10000,-215.3102959988,0.9982327200,0.9982327200,4.8444733515,0.3615410113,0.3615410113
1.94000,-194.6896560003,0.9290828400,0.9290828400,54.2647312475,22.2747567807,22.2747567807
2.78000,-111.1472800000,0.0421837600,0.3678761600,58.8068325394,651.9125150803,171.5046032509
1.11000,-215.4058799988,0.9984574400,0.9984574400,4.0846666632,0.3239900826,0.3239900826
2.79000,-111.3085840000,0.0078008400,0.3709333200,65.4213496628,666.9745222057,174.0330355338
1.95000,-192.4328640002,0.9160037600,0.9160037600,75.3147678388,40.0251633969,40.0251633969
2.80000,-108.3420640000,0.0180965200,0.3447135600,57.1227081909,582.3080684426,159.0939455436
1.12000,-215.3083759988,0.9981938000,0.9981938000,4.4285910358,0.3557788598,0.3557788598
1.96000,-193.4638000002,0.9261139200,0.9261139200,60.3116309599,20.3938243844,20.3938243844
2.81000,-109.1899760000,0.0048789600,0.3326104000,57.3768363012,565.9710083606,172.3557986188
1.13000,-215.3761359988,0.9983703200,0.9983703200,3.9987423284,0.3376436621,0.3376436621
1.97000,-192.0416640002,0.9146369200,0.9146369200,75.3640753646,44.0739805561,44.0739805561
2.82000,-108.0720960000,0.0990770000,0.3395833200,55.1345850510,541.1585137269,167.0429843183
1.14000,-215.1935519988,0.9979190800,0.9979190800,5.0117651466,0.3961137051,0.3961137051
1.98000,-191.8364640002,0.9185486400,0.9185486400,67.9443015819,26.6196805648,26.6196805648
1.15000,-215.2029839988,0.9979310800,0.9979310800,5.0690887432,0.4111057443,0.4111057443
2.83000,-107.9807280000,0.0385264400,0.3345662800,62.3916428703,560.6399117347,170.3561338762
1.99000,-192.4937120003,0.9227650800,0.9227650800,58.5659292382,20.1297363313,20.1297363313
1.16000,-215.1157279988,0.9977036800,0.9977036800,5.6678354501,0.4675215898,0.4675215898
2.84000,-105.2616880000,0.0006622800,0.3284027600,57.4526700297,531.9840752999,152.2378282545
2.00000,-190.7063840002,0.1868584800,0.9095753600,73.0878793999,4005.2064782539,43.1502583923
1.17000,-215.0311599988,0.9974910800,0.9974910800,5.7388716489,0.4816317105,0.4816317105
2.85000,-106.7147440000,0.0513506400,0.3226986400,47.9372238855,495.7551711284,139.6235078672
2.01000,-189.5124000001,0.8969873600,0.8979277600,84.6731848724,93.3023641668,84.9046617845
1.18000,-215.0499519988,0.9975234000,0.9975234000,5.7115090074,0.4988749385,0.4988749385
2.86000,-104.2638000000,0.0268778800,0.3003687600,53.1067780279,460.7768432399,147.8433762794
2.02000,-187.8710640002,0.8990753200,0.8990753200,80.9555728464,43.6164602214,43.6164602214
1.19000,-215.0385039988,0.9975171600,0.9975171600,5.7734042660,0.4815150897,0.4815150897
2.87000,-104.4277120000,0.0167586400,0.3131436800,52.7882371332,488.4298452449,147.7395584528
2.03000,-186.5641680002,0.7586975200,0.8817805600,88.8624956725,1091.5390795273,96.8837635657
1.20000,-214.7271439990,0.9966288400,0.9966288400,7.4301096503,0.6912472571,0.6912472571
2.88000,-104.7933600000,0.0536050000,0.3230696400,50.2054036351,496.4145526911,143.9822739941
2.04000,-188.8997440002,0.9059431200,0.9059431200,75.9186304959,37.5928358948,37.5928358948
1.21000,-214.7562239989,0.9967657200,0.9967657200,7.1376310300,0.6233076246,0.6233076246
2.89000,-102.6709760001,0.0129071200,0.2920275200,52.9639366387,442.2084645439,147.6981576557
2.05000,-184.9207120001,0.8450253600,0.8778892000,94.6582922973,353.4726485601,77.2697781515
1.22000,-214.8415839989,0.9970372800,0.9970372800,6.1209518183,0.5035924632,0.5035924632
