Tiempo inicial 2016-12-04T21:54:08.331 
L=20 - Mc=30000
7.4056
7.5502
7.7075
3.9224
4.1150
4.2172
3.7795
4.2214
4.1668
3.9425
3.9170
4.2842
3.8089
4.0119
4.2772
3.9306
4.1704
4.0865
3.9130
4.0634
4.1549
4.0817
4.1230
4.1671
4.0232
3.9963
4.2194
4.0048
4.0626
4.2108
3.9080
4.1016
4.2254
4.1596
4.0134
4.0742
4.1836
4.1764
4.0349
4.1446
4.0963
4.0513
4.2421
4.1328
4.1647
4.2184
4.3003
4.0478
4.1736
3.4933
3.0999
Tiempo final 2016-12-04T21:55:28.128 
